"title"	"description"	"source_uri"	"unique_id"	"date_depicted"	"map_type"	"issue_year"	"tag_list"	"subject_area"	"publisher"	"publication_place"	"authors"	"scale"	"metadata_projection"	"metadata_lat"	"metadata_lon"	"upload_url"	import string	macrepo number
title	general_note	[DO NOT EDIT] DA url - created from macrepo automatically	identifier	year part of date_in	one of "is_map", "index", "not_map"	year part of date_in	minimum of ("aerial photo"; "topo map") add additional tag (with comma) that relates to series	subj_topic	publisher_name	publisher_location	personal_name or corporate_name	scale	string	latitude	longitude	DO NOT EDIT - URL to TIFF generated from macrepo number automatically. 	DO NOT EDIT - generated automatically from other fields	Generated automatically from Lookup (DO NOT EDIT) tab based on Identifier
[Town of Dunnville, 1950-10-24] : [A12943-Photo 312]	Stereoscopic coverage. Shows Dunnville area, north and south side of the Grand River. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library, [Dunnville Area], October 24, 1950.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71648	AirPhotos_Dunnville_1950_A12943-312	1950	is_map	1950	aerial photo,AirPhotos_Dunnville_1950	Dunnville (Ont.)	[Publisher unknown]	[Place of publication unknown]		[1:13,000 approximately]		42.901873	-79.640579	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71648/datastream/OBJ/macrepo%3A71648.tiff	{"data":{"type":"maps","attributes":{"title":"[Town of Dunnville, 1950-10-24] : [A12943-Photo 312]","description":"Stereoscopic coverage. Shows Dunnville area, north and south side of the Grand River. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library, [Dunnville Area], October 24, 1950.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71648","unique_id":"AirPhotos_Dunnville_1950_A12943-312","date_depicted":"1950","map_type":"is_map","issue_year":"1950","tag_list":"aerial photo,AirPhotos_Dunnville_1950","subject_area":"Dunnville (Ont.)","publisher":"[Publisher unknown]","publication_place":"[Place of publication unknown]","authors":"","scale":"[1:13,000 approximately]","metadata_projection":"","metadata_lat":"42.901873","metadata_lon":"-79.640579","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71648/datastream/OBJ/macrepo%3A71648.tiff"}}}	71648
[Town of Dunnville, 1950-10-24] : [A12943-Photo 313]	Stereoscopic coverage. Shows Dunnville area, north and south side of the Grand River. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library, [Dunnville Area], October 24, 1950.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71649	AirPhotos_Dunnville_1950_A12943-313	1950	is_map	1950	aerial photo,AirPhotos_Dunnville_1950	Dunnville (Ont.)	[Publisher unknown]	[Place of publication unknown]		[1:13,000 approximately]		42.899735	-79.624615	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71649/datastream/OBJ/macrepo%3A71649.tiff	{"data":{"type":"maps","attributes":{"title":"[Town of Dunnville, 1950-10-24] : [A12943-Photo 313]","description":"Stereoscopic coverage. Shows Dunnville area, north and south side of the Grand River. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library, [Dunnville Area], October 24, 1950.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71649","unique_id":"AirPhotos_Dunnville_1950_A12943-313","date_depicted":"1950","map_type":"is_map","issue_year":"1950","tag_list":"aerial photo,AirPhotos_Dunnville_1950","subject_area":"Dunnville (Ont.)","publisher":"[Publisher unknown]","publication_place":"[Place of publication unknown]","authors":"","scale":"[1:13,000 approximately]","metadata_projection":"","metadata_lat":"42.899735","metadata_lon":"-79.624615","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71649/datastream/OBJ/macrepo%3A71649.tiff"}}}	71649
[Town of Dunnville, 1950-10-24] : [A12943-Photo 314]	Stereoscopic coverage. Shows Dunnville area, north and south side of the Grand River. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library, [Dunnville Area], October 24, 1950.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71650	AirPhotos_Dunnville_1950_A12943-314	1950	is_map	1950	aerial photo,AirPhotos_Dunnville_1950	Dunnville (Ont.)	[Publisher unknown]	[Place of publication unknown]		[1:13,000 approximately]		42.899107	-79.611912	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71650/datastream/OBJ/macrepo%3A71650.tiff	{"data":{"type":"maps","attributes":{"title":"[Town of Dunnville, 1950-10-24] : [A12943-Photo 314]","description":"Stereoscopic coverage. Shows Dunnville area, north and south side of the Grand River. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library, [Dunnville Area], October 24, 1950.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71650","unique_id":"AirPhotos_Dunnville_1950_A12943-314","date_depicted":"1950","map_type":"is_map","issue_year":"1950","tag_list":"aerial photo,AirPhotos_Dunnville_1950","subject_area":"Dunnville (Ont.)","publisher":"[Publisher unknown]","publication_place":"[Place of publication unknown]","authors":"","scale":"[1:13,000 approximately]","metadata_projection":"","metadata_lat":"42.899107","metadata_lon":"-79.611912","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71650/datastream/OBJ/macrepo%3A71650.tiff"}}}	71650
[Town of Dunnville, 1950-10-24] : [A12943-Photo 315]	Stereoscopic coverage. Shows Dunnville area, north and south side of the Grand River. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library, [Dunnville Area], October 24, 1950.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71651	AirPhotos_Dunnville_1950_A12943-315	1950	is_map	1950	aerial photo,AirPhotos_Dunnville_1950	Dunnville (Ont.)	[Publisher unknown]	[Place of publication unknown]		[1:13,000 approximately]		42.897472	-79.598522	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71651/datastream/OBJ/macrepo%3A71651.tiff	{"data":{"type":"maps","attributes":{"title":"[Town of Dunnville, 1950-10-24] : [A12943-Photo 315]","description":"Stereoscopic coverage. Shows Dunnville area, north and south side of the Grand River. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library, [Dunnville Area], October 24, 1950.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71651","unique_id":"AirPhotos_Dunnville_1950_A12943-315","date_depicted":"1950","map_type":"is_map","issue_year":"1950","tag_list":"aerial photo,AirPhotos_Dunnville_1950","subject_area":"Dunnville (Ont.)","publisher":"[Publisher unknown]","publication_place":"[Place of publication unknown]","authors":"","scale":"[1:13,000 approximately]","metadata_projection":"","metadata_lat":"42.897472","metadata_lon":"-79.598522","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71651/datastream/OBJ/macrepo%3A71651.tiff"}}}	71651
[Town of Dunnville, 1950-10-24] : [A12943-Photo 316]	Stereoscopic coverage. Shows Dunnville area, north and south side of the Grand River. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library, [Dunnville Area], October 24, 1950.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71652	AirPhotos_Dunnville_1950_A12943-316	1950	is_map	1950	aerial photo,AirPhotos_Dunnville_1950	Dunnville (Ont.)	[Publisher unknown]	[Place of publication unknown]		[1:13,000 approximately]		42.895963	-79.586163	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71652/datastream/OBJ/macrepo%3A71652.tiff	{"data":{"type":"maps","attributes":{"title":"[Town of Dunnville, 1950-10-24] : [A12943-Photo 316]","description":"Stereoscopic coverage. Shows Dunnville area, north and south side of the Grand River. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library, [Dunnville Area], October 24, 1950.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71652","unique_id":"AirPhotos_Dunnville_1950_A12943-316","date_depicted":"1950","map_type":"is_map","issue_year":"1950","tag_list":"aerial photo,AirPhotos_Dunnville_1950","subject_area":"Dunnville (Ont.)","publisher":"[Publisher unknown]","publication_place":"[Place of publication unknown]","authors":"","scale":"[1:13,000 approximately]","metadata_projection":"","metadata_lat":"42.895963","metadata_lon":"-79.586163","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71652/datastream/OBJ/macrepo%3A71652.tiff"}}}	71652
[Town of Dunnville, 1950-10-24] : [A12943-Photo 317]	Stereoscopic coverage. Shows Dunnville area, north and south side of the Grand River. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library, [Dunnville Area], October 24, 1950.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71653	AirPhotos_Dunnville_1950_A12943-317	1950	is_map	1950	aerial photo,AirPhotos_Dunnville_1950	Dunnville (Ont.)	[Publisher unknown]	[Place of publication unknown]		[1:13,000 approximately]		42.894957	-79.571743	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71653/datastream/OBJ/macrepo%3A71653.tiff	{"data":{"type":"maps","attributes":{"title":"[Town of Dunnville, 1950-10-24] : [A12943-Photo 317]","description":"Stereoscopic coverage. Shows Dunnville area, north and south side of the Grand River. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library, [Dunnville Area], October 24, 1950.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71653","unique_id":"AirPhotos_Dunnville_1950_A12943-317","date_depicted":"1950","map_type":"is_map","issue_year":"1950","tag_list":"aerial photo,AirPhotos_Dunnville_1950","subject_area":"Dunnville (Ont.)","publisher":"[Publisher unknown]","publication_place":"[Place of publication unknown]","authors":"","scale":"[1:13,000 approximately]","metadata_projection":"","metadata_lat":"42.894957","metadata_lon":"-79.571743","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71653/datastream/OBJ/macrepo%3A71653.tiff"}}}	71653
[Town of Dunnville, 1950-10-24] : [A12943-Photo 334]	Stereoscopic coverage. Shows Dunnville area, north and south side of the Grand River. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library, [Dunnville Area], October 24, 1950.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71654	AirPhotos_Dunnville_1950_A12943-334	1950	is_map	1950	aerial photo,AirPhotos_Dunnville_1950	Dunnville (Ont.)	[Publisher unknown]	[Place of publication unknown]		[1:13,000 approximately]		42.894076	-79.648304	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71654/datastream/OBJ/macrepo%3A71654.tiff	{"data":{"type":"maps","attributes":{"title":"[Town of Dunnville, 1950-10-24] : [A12943-Photo 334]","description":"Stereoscopic coverage. Shows Dunnville area, north and south side of the Grand River. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library, [Dunnville Area], October 24, 1950.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71654","unique_id":"AirPhotos_Dunnville_1950_A12943-334","date_depicted":"1950","map_type":"is_map","issue_year":"1950","tag_list":"aerial photo,AirPhotos_Dunnville_1950","subject_area":"Dunnville (Ont.)","publisher":"[Publisher unknown]","publication_place":"[Place of publication unknown]","authors":"","scale":"[1:13,000 approximately]","metadata_projection":"","metadata_lat":"42.894076","metadata_lon":"-79.648304","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71654/datastream/OBJ/macrepo%3A71654.tiff"}}}	71654
[Town of Dunnville, 1950-10-24] : [A12943-Photo 335]	Stereoscopic coverage. Shows Dunnville area, north and south side of the Grand River. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library, [Dunnville Area], October 24, 1950.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71655	AirPhotos_Dunnville_1950_A12943-335	1950	is_map	1950	aerial photo,AirPhotos_Dunnville_1950	Dunnville (Ont.)	[Publisher unknown]	[Place of publication unknown]		[1:13,000 approximately]		42.89263	-79.632425	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71655/datastream/OBJ/macrepo%3A71655.tiff	{"data":{"type":"maps","attributes":{"title":"[Town of Dunnville, 1950-10-24] : [A12943-Photo 335]","description":"Stereoscopic coverage. Shows Dunnville area, north and south side of the Grand River. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library, [Dunnville Area], October 24, 1950.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71655","unique_id":"AirPhotos_Dunnville_1950_A12943-335","date_depicted":"1950","map_type":"is_map","issue_year":"1950","tag_list":"aerial photo,AirPhotos_Dunnville_1950","subject_area":"Dunnville (Ont.)","publisher":"[Publisher unknown]","publication_place":"[Place of publication unknown]","authors":"","scale":"[1:13,000 approximately]","metadata_projection":"","metadata_lat":"42.89263","metadata_lon":"-79.632425","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71655/datastream/OBJ/macrepo%3A71655.tiff"}}}	71655
[Town of Dunnville, 1950-10-24] : [A12943-Photo 336]	Stereoscopic coverage. Shows Dunnville area, north and south side of the Grand River. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library, [Dunnville Area], October 24, 1950.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71656	AirPhotos_Dunnville_1950_A12943-336	1950	is_map	1950	aerial photo,AirPhotos_Dunnville_1950	Dunnville (Ont.)	[Publisher unknown]	[Place of publication unknown]		[1:13,000 approximately]		42.890178	-79.618092	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71656/datastream/OBJ/macrepo%3A71656.tiff	{"data":{"type":"maps","attributes":{"title":"[Town of Dunnville, 1950-10-24] : [A12943-Photo 336]","description":"Stereoscopic coverage. Shows Dunnville area, north and south side of the Grand River. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library, [Dunnville Area], October 24, 1950.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71656","unique_id":"AirPhotos_Dunnville_1950_A12943-336","date_depicted":"1950","map_type":"is_map","issue_year":"1950","tag_list":"aerial photo,AirPhotos_Dunnville_1950","subject_area":"Dunnville (Ont.)","publisher":"[Publisher unknown]","publication_place":"[Place of publication unknown]","authors":"","scale":"[1:13,000 approximately]","metadata_projection":"","metadata_lat":"42.890178","metadata_lon":"-79.618092","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71656/datastream/OBJ/macrepo%3A71656.tiff"}}}	71656
