"title"	"description"	"source_uri"	"unique_id"	"date_depicted"	"map_type"	"issue_year"	"tag_list"	"subject_area"	"publisher"	"publication_place"	"authors"	"scale"	"metadata_projection"	"metadata_lat"	"metadata_lon"	"upload_url"	import string	macrepo number
title	general_note	[DO NOT EDIT] DA url - created from macrepo automatically	identifier	year part of date_in	one of "is_map", "index", "not_map"	year part of date_in	minimum of ("aerial photo"; "topo map") add additional tag (with comma) that relates to series	subj_topic	publisher_name	publisher_location	personal_name or corporate_name	scale	string	latitude	longitude	DO NOT EDIT - URL to TIFF generated from macrepo number automatically. 	DO NOT EDIT - generated automatically from other fields	Generated automatically from Lookup (DO NOT EDIT) tab based on Identifier
[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-403-Photo 100]	Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81740	AirPhotos_HamiltonSW_1967_674-403-100	1967	is_map	1967	aerial photo, AirPhotos_HamiltonSW_1967	Hamilton (Ont.)	[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]	[Toronto, Ont.]		[1:4,800 approximately]		43.245	-79.944999	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81740/datastream/OBJ/macrepo%3A81740.tiff	{"data":{"type":"maps","attributes":{"title":"[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-403-Photo 100]","description":"Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81740","unique_id":"AirPhotos_HamiltonSW_1967_674-403-100","date_depicted":"1967","map_type":"is_map","issue_year":"1967","tag_list":"aerial photo, AirPhotos_HamiltonSW_1967","subject_area":"Hamilton (Ont.)","publisher":"[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]","publication_place":"[Toronto, Ont.]","authors":"","scale":"[1:4,800 approximately]","metadata_projection":"","metadata_lat":"43.245","metadata_lon":"-79.944999","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81740/datastream/OBJ/macrepo%3A81740.tiff"}}}	81740
[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-403-Photo 101]	Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81741	AirPhotos_HamiltonSW_1967_674-403-101	1967	is_map	1967	aerial photo, AirPhotos_HamiltonSW_1967	Hamilton (Ont.)	[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]	[Toronto, Ont.]		[1:4,800 approximately]		43.244484	-79.947917	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81741/datastream/OBJ/macrepo%3A81741.tiff	{"data":{"type":"maps","attributes":{"title":"[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-403-Photo 101]","description":"Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81741","unique_id":"AirPhotos_HamiltonSW_1967_674-403-101","date_depicted":"1967","map_type":"is_map","issue_year":"1967","tag_list":"aerial photo, AirPhotos_HamiltonSW_1967","subject_area":"Hamilton (Ont.)","publisher":"[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]","publication_place":"[Toronto, Ont.]","authors":"","scale":"[1:4,800 approximately]","metadata_projection":"","metadata_lat":"43.244484","metadata_lon":"-79.947917","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81741/datastream/OBJ/macrepo%3A81741.tiff"}}}	81741
[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-403-Photo 102]	Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81742	AirPhotos_HamiltonSW_1967_674-403-102	1967	is_map	1967	aerial photo, AirPhotos_HamiltonSW_1967	Hamilton (Ont.)	[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]	[Toronto, Ont.]		[1:4,800 approximately]		43.243999	-79.950857	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81742/datastream/OBJ/macrepo%3A81742.tiff	{"data":{"type":"maps","attributes":{"title":"[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-403-Photo 102]","description":"Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81742","unique_id":"AirPhotos_HamiltonSW_1967_674-403-102","date_depicted":"1967","map_type":"is_map","issue_year":"1967","tag_list":"aerial photo, AirPhotos_HamiltonSW_1967","subject_area":"Hamilton (Ont.)","publisher":"[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]","publication_place":"[Toronto, Ont.]","authors":"","scale":"[1:4,800 approximately]","metadata_projection":"","metadata_lat":"43.243999","metadata_lon":"-79.950857","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81742/datastream/OBJ/macrepo%3A81742.tiff"}}}	81742
[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-403-Photo 103]	Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81743	AirPhotos_HamiltonSW_1967_674-403-103	1967	is_map	1967	aerial photo, AirPhotos_HamiltonSW_1967	Hamilton (Ont.)	[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]	[Toronto, Ont.]		[1:4,800 approximately]		43.243483	-79.953754	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81743/datastream/OBJ/macrepo%3A81743.tiff	{"data":{"type":"maps","attributes":{"title":"[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-403-Photo 103]","description":"Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81743","unique_id":"AirPhotos_HamiltonSW_1967_674-403-103","date_depicted":"1967","map_type":"is_map","issue_year":"1967","tag_list":"aerial photo, AirPhotos_HamiltonSW_1967","subject_area":"Hamilton (Ont.)","publisher":"[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]","publication_place":"[Toronto, Ont.]","authors":"","scale":"[1:4,800 approximately]","metadata_projection":"","metadata_lat":"43.243483","metadata_lon":"-79.953754","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81743/datastream/OBJ/macrepo%3A81743.tiff"}}}	81743
[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-403-Photo 104]	Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81744	AirPhotos_HamiltonSW_1967_674-403-104	1967	is_map	1967	aerial photo, AirPhotos_HamiltonSW_1967	Hamilton (Ont.)	[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]	[Toronto, Ont.]		[1:4,800 approximately]		43.242999	-79.956629	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81744/datastream/OBJ/macrepo%3A81744.tiff	{"data":{"type":"maps","attributes":{"title":"[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-403-Photo 104]","description":"Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81744","unique_id":"AirPhotos_HamiltonSW_1967_674-403-104","date_depicted":"1967","map_type":"is_map","issue_year":"1967","tag_list":"aerial photo, AirPhotos_HamiltonSW_1967","subject_area":"Hamilton (Ont.)","publisher":"[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]","publication_place":"[Toronto, Ont.]","authors":"","scale":"[1:4,800 approximately]","metadata_projection":"","metadata_lat":"43.242999","metadata_lon":"-79.956629","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81744/datastream/OBJ/macrepo%3A81744.tiff"}}}	81744
[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-403-Photo 105]	Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81745	AirPhotos_HamiltonSW_1967_674-403-105	1967	is_map	1967	aerial photo, AirPhotos_HamiltonSW_1967	Hamilton (Ont.)	[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]	[Toronto, Ont.]		[1:4,800 approximately]		43.242561	-79.959462	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81745/datastream/OBJ/macrepo%3A81745.tiff	{"data":{"type":"maps","attributes":{"title":"[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-403-Photo 105]","description":"Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81745","unique_id":"AirPhotos_HamiltonSW_1967_674-403-105","date_depicted":"1967","map_type":"is_map","issue_year":"1967","tag_list":"aerial photo, AirPhotos_HamiltonSW_1967","subject_area":"Hamilton (Ont.)","publisher":"[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]","publication_place":"[Toronto, Ont.]","authors":"","scale":"[1:4,800 approximately]","metadata_projection":"","metadata_lat":"43.242561","metadata_lon":"-79.959462","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81745/datastream/OBJ/macrepo%3A81745.tiff"}}}	81745
[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-403-Photo 48]	Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81764	AirPhotos_HamiltonSW_1967_674-403-48	1967	is_map	1967	aerial photo, AirPhotos_HamiltonSW_1967	Hamilton (Ont.)	[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]	[Toronto, Ont.]		[1:3,000 approximately]		43.229633	-79.949377	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81764/datastream/OBJ/macrepo%3A81764.tiff	{"data":{"type":"maps","attributes":{"title":"[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-403-Photo 48]","description":"Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81764","unique_id":"AirPhotos_HamiltonSW_1967_674-403-48","date_depicted":"1967","map_type":"is_map","issue_year":"1967","tag_list":"aerial photo, AirPhotos_HamiltonSW_1967","subject_area":"Hamilton (Ont.)","publisher":"[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]","publication_place":"[Toronto, Ont.]","authors":"","scale":"[1:3,000 approximately]","metadata_projection":"","metadata_lat":"43.229633","metadata_lon":"-79.949377","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81764/datastream/OBJ/macrepo%3A81764.tiff"}}}	81764
[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-403-Photo 49]	Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81765	AirPhotos_HamiltonSW_1967_674-403-49	1967	is_map	1967	aerial photo, AirPhotos_HamiltonSW_1967	Hamilton (Ont.)	[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]	[Toronto, Ont.]		[1:3,000 approximately]		43.230852	-79.949312	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81765/datastream/OBJ/macrepo%3A81765.tiff	{"data":{"type":"maps","attributes":{"title":"[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-403-Photo 49]","description":"Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81765","unique_id":"AirPhotos_HamiltonSW_1967_674-403-49","date_depicted":"1967","map_type":"is_map","issue_year":"1967","tag_list":"aerial photo, AirPhotos_HamiltonSW_1967","subject_area":"Hamilton (Ont.)","publisher":"[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]","publication_place":"[Toronto, Ont.]","authors":"","scale":"[1:3,000 approximately]","metadata_projection":"","metadata_lat":"43.230852","metadata_lon":"-79.949312","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81765/datastream/OBJ/macrepo%3A81765.tiff"}}}	81765
[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-403-Photo 50]	Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81766	AirPhotos_HamiltonSW_1967_674-403-50	1967	is_map	1967	aerial photo, AirPhotos_HamiltonSW_1967	Hamilton (Ont.)	[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]	[Toronto, Ont.]		[1:3,000 approximately]		43.232009	-79.949312	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81766/datastream/OBJ/macrepo%3A81766.tiff	{"data":{"type":"maps","attributes":{"title":"[Parts of southwest Hamilton, including Ancaster, the Hamilton Beach Strip and part of Burlington, 1967] : [Flightline 674-403-Photo 50]","description":"Shows parts of southwest Hamilton, west of James and south of Main. Includes Ancaster area. Includes construction of the Ancaster section of the Highway 403. Also four photographs showing the Beach Strip. Includes a small part of Burlington, but does not extend as far as Windemere Basin and Hamilton shore. Some are photocopies of originals from the Queen's University, Maps and Air Photos Collection. Source: [Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section], November 1967.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81766","unique_id":"AirPhotos_HamiltonSW_1967_674-403-50","date_depicted":"1967","map_type":"is_map","issue_year":"1967","tag_list":"aerial photo, AirPhotos_HamiltonSW_1967","subject_area":"Hamilton (Ont.)","publisher":"[Ontario Department of Lands and Forests, Division of Surveys and Engineering, Aerial Surveys Section]","publication_place":"[Toronto, Ont.]","authors":"","scale":"[1:3,000 approximately]","metadata_projection":"","metadata_lat":"43.232009","metadata_lon":"-79.949312","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A81766/datastream/OBJ/macrepo%3A81766.tiff"}}}	81766
