"title"	"description"	"source_uri"	"unique_id"	"date_depicted"	"map_type"	"issue_year"	"tag_list"	"subject_area"	"publisher"	"publication_place"	"authors"	"scale"	"metadata_projection"	"metadata_lat"	"metadata_lon"	"upload_url"	import string	macrepo number
title	general_note	[DO NOT EDIT] DA url - created from macrepo automatically	identifier	year part of date_in	one of "is_map", "index", "not_map"	year part of date_in	minimum of ("aerial photo"; "topo map") add additional tag (with comma) that relates to series	subj_topic	publisher_name	publisher_location	personal_name or corporate_name	scale	string	latitude	longitude	DO NOT EDIT - URL to TIFF generated from macrepo number automatically. 	DO NOT EDIT - generated automatically from other fields	Generated automatically from Lookup (DO NOT EDIT) tab based on Identifier
[West Hamilton, 1958] : [4964-Photo 119]	Stereoscopic coverage. Shows part of Western Hamilton, including a portion of the McMaster campus. Includes Dundas and High Level Bridge area. Source: Photographic Survey Corporation Ltd., Toronto. 1958 and 1959.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71732	AirPhotos_Hamilton_1958-1959_4964-119	1958	is_map	1958	aerial photo, AirPhotos_Hamilton_1958-1959	Hamilton (Ont.)	[Publisher unknown]	[Toronto, Ont.]	Photographic Survey Corporation	[1:12,000 approximately]		43.244578	-80.002356	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71732/datastream/OBJ/macrepo%3A71732.tiff	{"data":{"type":"maps","attributes":{"title":"[West Hamilton, 1958] : [4964-Photo 119]","description":"Stereoscopic coverage. Shows part of Western Hamilton, including a portion of the McMaster campus. Includes Dundas and High Level Bridge area. Source: Photographic Survey Corporation Ltd., Toronto. 1958 and 1959.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71732","unique_id":"AirPhotos_Hamilton_1958-1959_4964-119","date_depicted":"1958","map_type":"is_map","issue_year":"1958","tag_list":"aerial photo, AirPhotos_Hamilton_1958-1959","subject_area":"Hamilton (Ont.)","publisher":"[Publisher unknown]","publication_place":"[Toronto, Ont.]","authors":"Photographic Survey Corporation","scale":"[1:12,000 approximately]","metadata_projection":"","metadata_lat":"43.244578","metadata_lon":"-80.002356","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71732/datastream/OBJ/macrepo%3A71732.tiff"}}}	71732
[West Hamilton, 1958] : [4964-Photo 120]	Stereoscopic coverage. Shows part of Western Hamilton, including a portion of the McMaster campus. Includes Dundas and High Level Bridge area. Source: Photographic Survey Corporation Ltd., Toronto. 1958 and 1959.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71741	AirPhotos_Hamilton_1958-1959_4964-120	1958	is_map	1958	aerial photo, AirPhotos_Hamilton_1958-1959	Hamilton (Ont.)	[Publisher unknown]	[Toronto, Ont.]	Photographic Survey Corporation	[1:12,000 approximately]		43.246703	-79.991455	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71741/datastream/OBJ/macrepo%3A71741.tiff	{"data":{"type":"maps","attributes":{"title":"[West Hamilton, 1958] : [4964-Photo 120]","description":"Stereoscopic coverage. Shows part of Western Hamilton, including a portion of the McMaster campus. Includes Dundas and High Level Bridge area. Source: Photographic Survey Corporation Ltd., Toronto. 1958 and 1959.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71741","unique_id":"AirPhotos_Hamilton_1958-1959_4964-120","date_depicted":"1958","map_type":"is_map","issue_year":"1958","tag_list":"aerial photo, AirPhotos_Hamilton_1958-1959","subject_area":"Hamilton (Ont.)","publisher":"[Publisher unknown]","publication_place":"[Toronto, Ont.]","authors":"Photographic Survey Corporation","scale":"[1:12,000 approximately]","metadata_projection":"","metadata_lat":"43.246703","metadata_lon":"-79.991455","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71741/datastream/OBJ/macrepo%3A71741.tiff"}}}	71741
[West Hamilton, 1958] : [4964-Photo 121]	Stereoscopic coverage. Shows part of Western Hamilton, including a portion of the McMaster campus. Includes Dundas and High Level Bridge area. Source: Photographic Survey Corporation Ltd., Toronto. 1958 and 1959.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71737	AirPhotos_Hamilton_1958-1959_4964-121	1958	is_map	1958	aerial photo, AirPhotos_Hamilton_1958-1959	Hamilton (Ont.)	[Publisher unknown]	[Toronto, Ont.]	Photographic Survey Corporation	[1:12,000 approximately]		43.248579	-79.980469	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71737/datastream/OBJ/macrepo%3A71737.tiff	{"data":{"type":"maps","attributes":{"title":"[West Hamilton, 1958] : [4964-Photo 121]","description":"Stereoscopic coverage. Shows part of Western Hamilton, including a portion of the McMaster campus. Includes Dundas and High Level Bridge area. Source: Photographic Survey Corporation Ltd., Toronto. 1958 and 1959.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71737","unique_id":"AirPhotos_Hamilton_1958-1959_4964-121","date_depicted":"1958","map_type":"is_map","issue_year":"1958","tag_list":"aerial photo, AirPhotos_Hamilton_1958-1959","subject_area":"Hamilton (Ont.)","publisher":"[Publisher unknown]","publication_place":"[Toronto, Ont.]","authors":"Photographic Survey Corporation","scale":"[1:12,000 approximately]","metadata_projection":"","metadata_lat":"43.248579","metadata_lon":"-79.980469","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71737/datastream/OBJ/macrepo%3A71737.tiff"}}}	71737
[West Hamilton, 1958] : [4964-Photo 122]	Stereoscopic coverage. Shows part of Western Hamilton, including a portion of the McMaster campus. Includes Dundas and High Level Bridge area. Source: Photographic Survey Corporation Ltd., Toronto. 1958 and 1959.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71735	AirPhotos_Hamilton_1958-1959_4964-122	1958	is_map	1958	aerial photo, AirPhotos_Hamilton_1958-1959	Hamilton (Ont.)	[Publisher unknown]	[Toronto, Ont.]	Photographic Survey Corporation	[1:12,000 approximately]		43.250861	-79.970169	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71735/datastream/OBJ/macrepo%3A71735.tiff	{"data":{"type":"maps","attributes":{"title":"[West Hamilton, 1958] : [4964-Photo 122]","description":"Stereoscopic coverage. Shows part of Western Hamilton, including a portion of the McMaster campus. Includes Dundas and High Level Bridge area. Source: Photographic Survey Corporation Ltd., Toronto. 1958 and 1959.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71735","unique_id":"AirPhotos_Hamilton_1958-1959_4964-122","date_depicted":"1958","map_type":"is_map","issue_year":"1958","tag_list":"aerial photo, AirPhotos_Hamilton_1958-1959","subject_area":"Hamilton (Ont.)","publisher":"[Publisher unknown]","publication_place":"[Toronto, Ont.]","authors":"Photographic Survey Corporation","scale":"[1:12,000 approximately]","metadata_projection":"","metadata_lat":"43.250861","metadata_lon":"-79.970169","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71735/datastream/OBJ/macrepo%3A71735.tiff"}}}	71735
[West Hamilton, 1958] : [4964-Photo 123]	Stereoscopic coverage. Shows part of Western Hamilton, including a portion of the McMaster campus. Includes Dundas and High Level Bridge area. Source: Photographic Survey Corporation Ltd., Toronto. 1958 and 1959.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71734	AirPhotos_Hamilton_1958-1959_4964-123	1958	is_map	1958	aerial photo, AirPhotos_Hamilton_1958-1959	Hamilton (Ont.)	[Publisher unknown]	[Toronto, Ont.]	Photographic Survey Corporation	[1:12,000 approximately]		43.253267	-79.960899	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71734/datastream/OBJ/macrepo%3A71734.tiff	{"data":{"type":"maps","attributes":{"title":"[West Hamilton, 1958] : [4964-Photo 123]","description":"Stereoscopic coverage. Shows part of Western Hamilton, including a portion of the McMaster campus. Includes Dundas and High Level Bridge area. Source: Photographic Survey Corporation Ltd., Toronto. 1958 and 1959.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71734","unique_id":"AirPhotos_Hamilton_1958-1959_4964-123","date_depicted":"1958","map_type":"is_map","issue_year":"1958","tag_list":"aerial photo, AirPhotos_Hamilton_1958-1959","subject_area":"Hamilton (Ont.)","publisher":"[Publisher unknown]","publication_place":"[Toronto, Ont.]","authors":"Photographic Survey Corporation","scale":"[1:12,000 approximately]","metadata_projection":"","metadata_lat":"43.253267","metadata_lon":"-79.960899","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71734/datastream/OBJ/macrepo%3A71734.tiff"}}}	71734
[West Hamilton, 1958] : [4964-Photo 124]	Stereoscopic coverage. Shows part of Western Hamilton, including a portion of the McMaster campus. Includes Dundas and High Level Bridge area. Source: Photographic Survey Corporation Ltd., Toronto. 1958 and 1959.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71727	AirPhotos_Hamilton_1958-1959_4964-124	1958	is_map	1958	aerial photo, AirPhotos_Hamilton_1958-1959	Hamilton (Ont.)	[Publisher unknown]	[Toronto, Ont.]	Photographic Survey Corporation	[1:12,000 approximately]		43.256643	-79.94987	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71727/datastream/OBJ/macrepo%3A71727.tiff	{"data":{"type":"maps","attributes":{"title":"[West Hamilton, 1958] : [4964-Photo 124]","description":"Stereoscopic coverage. Shows part of Western Hamilton, including a portion of the McMaster campus. Includes Dundas and High Level Bridge area. Source: Photographic Survey Corporation Ltd., Toronto. 1958 and 1959.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71727","unique_id":"AirPhotos_Hamilton_1958-1959_4964-124","date_depicted":"1958","map_type":"is_map","issue_year":"1958","tag_list":"aerial photo, AirPhotos_Hamilton_1958-1959","subject_area":"Hamilton (Ont.)","publisher":"[Publisher unknown]","publication_place":"[Toronto, Ont.]","authors":"Photographic Survey Corporation","scale":"[1:12,000 approximately]","metadata_projection":"","metadata_lat":"43.256643","metadata_lon":"-79.94987","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71727/datastream/OBJ/macrepo%3A71727.tiff"}}}	71727
[West Hamilton, 1958] : [4964-Photo 72]	Stereoscopic coverage. Shows part of Western Hamilton, including a portion of the McMaster campus. Includes Dundas and High Level Bridge area. Source: Photographic Survey Corporation Ltd., Toronto. 1958 and 1959.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71731	AirPhotos_Hamilton_1958-1959_4964-72	1958	is_map	1958	aerial photo, AirPhotos_Hamilton_1958-1959	Hamilton (Ont.)	[Publisher unknown]	[Toronto, Ont.]	Photographic Survey Corporation	[1:12,000 approximately]		43.266019	-79.99506	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71731/datastream/OBJ/macrepo%3A71731.tiff	{"data":{"type":"maps","attributes":{"title":"[West Hamilton, 1958] : [4964-Photo 72]","description":"Stereoscopic coverage. Shows part of Western Hamilton, including a portion of the McMaster campus. Includes Dundas and High Level Bridge area. Source: Photographic Survey Corporation Ltd., Toronto. 1958 and 1959.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71731","unique_id":"AirPhotos_Hamilton_1958-1959_4964-72","date_depicted":"1958","map_type":"is_map","issue_year":"1958","tag_list":"aerial photo, AirPhotos_Hamilton_1958-1959","subject_area":"Hamilton (Ont.)","publisher":"[Publisher unknown]","publication_place":"[Toronto, Ont.]","authors":"Photographic Survey Corporation","scale":"[1:12,000 approximately]","metadata_projection":"","metadata_lat":"43.266019","metadata_lon":"-79.99506","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71731/datastream/OBJ/macrepo%3A71731.tiff"}}}	71731
[West Hamilton, 1958] : [4964-Photo 73]	Stereoscopic coverage. Shows part of Western Hamilton, including a portion of the McMaster campus. Includes Dundas and High Level Bridge area. Source: Photographic Survey Corporation Ltd., Toronto. 1958 and 1959.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71746	AirPhotos_Hamilton_1958-1959_4964-73	1958	is_map	1958	aerial photo, AirPhotos_Hamilton_1958-1959	Hamilton (Ont.)	[Publisher unknown]	[Toronto, Ont.]	Photographic Survey Corporation	[1:12,000 approximately]		43.269362	-79.984674	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71746/datastream/OBJ/macrepo%3A71746.tiff	{"data":{"type":"maps","attributes":{"title":"[West Hamilton, 1958] : [4964-Photo 73]","description":"Stereoscopic coverage. Shows part of Western Hamilton, including a portion of the McMaster campus. Includes Dundas and High Level Bridge area. Source: Photographic Survey Corporation Ltd., Toronto. 1958 and 1959.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71746","unique_id":"AirPhotos_Hamilton_1958-1959_4964-73","date_depicted":"1958","map_type":"is_map","issue_year":"1958","tag_list":"aerial photo, AirPhotos_Hamilton_1958-1959","subject_area":"Hamilton (Ont.)","publisher":"[Publisher unknown]","publication_place":"[Toronto, Ont.]","authors":"Photographic Survey Corporation","scale":"[1:12,000 approximately]","metadata_projection":"","metadata_lat":"43.269362","metadata_lon":"-79.984674","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71746/datastream/OBJ/macrepo%3A71746.tiff"}}}	71746
[West Hamilton, 1959-04-30] : [5384-Photo 58]	Stereoscopic coverage. Shows part of Western Hamilton, including a portion of the McMaster campus. Includes Dundas and High Level Bridge area. Source: Photographic Survey Corporation Ltd., Toronto. 1958 and 1959.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71728	AirPhotos_Hamilton_1958-1959_5384-58	1959	is_map	1959	aerial photo, AirPhotos_Hamilton_1958-1959	Hamilton (Ont.)	[Publisher unknown]	[Toronto, Ont.]	Photographic Survey Corporation	[1:4,800 approximately]		43.254346	-79.898543	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71728/datastream/OBJ/macrepo%3A71728.tiff	{"data":{"type":"maps","attributes":{"title":"[West Hamilton, 1959-04-30] : [5384-Photo 58]","description":"Stereoscopic coverage. Shows part of Western Hamilton, including a portion of the McMaster campus. Includes Dundas and High Level Bridge area. Source: Photographic Survey Corporation Ltd., Toronto. 1958 and 1959.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71728","unique_id":"AirPhotos_Hamilton_1958-1959_5384-58","date_depicted":"1959","map_type":"is_map","issue_year":"1959","tag_list":"aerial photo, AirPhotos_Hamilton_1958-1959","subject_area":"Hamilton (Ont.)","publisher":"[Publisher unknown]","publication_place":"[Toronto, Ont.]","authors":"Photographic Survey Corporation","scale":"[1:4,800 approximately]","metadata_projection":"","metadata_lat":"43.254346","metadata_lon":"-79.898543","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71728/datastream/OBJ/macrepo%3A71728.tiff"}}}	71728
