"title"	"description"	"source_uri"	"unique_id"	"date_depicted"	"map_type"	"issue_year"	"tag_list"	"subject_area"	"publisher"	"publication_place"	"authors"	"scale"	"metadata_projection"	"metadata_lat"	"metadata_lon"	"upload_url"	import string	macrepo number
title	general_note	[DO NOT EDIT] DA url - created from macrepo automatically	identifier	year part of date_in	one of "is_map", "index", "not_map"	year part of date_in	minimum of ("aerial photo"; "topo map") add additional tag (with comma) that relates to series	subj_topic	publisher_name	publisher_location	personal_name or corporate_name	scale	string	latitude	longitude	DO NOT EDIT - URL to TIFF generated from macrepo number automatically. 	DO NOT EDIT - generated automatically from other fields	Generated automatically from Lookup (DO NOT EDIT) tab based on Identifier
[Golden Horseshoe Area, 1959-11-09] : [A16883-Photo 1]	Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72726	AirPhotos_Hamilton_1959-1962_A16883-1	1959	is_map	1959	aerial photo,AirPhotos_Hamilton_1959-1962	Golden Horseshoe (Ont.)	[Spartan Air Services Ltd.]	[Ottawa, Ont.]	Spartan Air Services Ltd.	[1:30,000 approximately]		43.321057	-80.015488	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72726/datastream/OBJ/macrepo%3A72726.tiff	{"data":{"type":"maps","attributes":{"title":"[Golden Horseshoe Area, 1959-11-09] : [A16883-Photo 1]","description":"Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72726","unique_id":"AirPhotos_Hamilton_1959-1962_A16883-1","date_depicted":"1959","map_type":"is_map","issue_year":"1959","tag_list":"aerial photo,AirPhotos_Hamilton_1959-1962","subject_area":"Golden Horseshoe (Ont.)","publisher":"[Spartan Air Services Ltd.]","publication_place":"[Ottawa, Ont.]","authors":"Spartan Air Services Ltd.","scale":"[1:30,000 approximately]","metadata_projection":"","metadata_lat":"43.321057","metadata_lon":"-80.015488","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72726/datastream/OBJ/macrepo%3A72726.tiff"}}}	72726
[Golden Horseshoe Area, 1959-11-09] : [A16883-Photo 10]	Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77126	AirPhotos_Hamilton_1959-1962_A16883-10	1959	is_map	1959	aerial photo,AirPhotos_Hamilton_1959-1962	Golden Horseshoe (Ont.)	[Spartan Air Services Ltd.]	[Ottawa, Ont.]	Spartan Air Services Ltd.	[1:30,000 approximately]		43.320307	-79.735165	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77126/datastream/OBJ/macrepo%3A77126.tiff	{"data":{"type":"maps","attributes":{"title":"[Golden Horseshoe Area, 1959-11-09] : [A16883-Photo 10]","description":"Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77126","unique_id":"AirPhotos_Hamilton_1959-1962_A16883-10","date_depicted":"1959","map_type":"is_map","issue_year":"1959","tag_list":"aerial photo,AirPhotos_Hamilton_1959-1962","subject_area":"Golden Horseshoe (Ont.)","publisher":"[Spartan Air Services Ltd.]","publication_place":"[Ottawa, Ont.]","authors":"Spartan Air Services Ltd.","scale":"[1:30,000 approximately]","metadata_projection":"","metadata_lat":"43.320307","metadata_lon":"-79.735165","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77126/datastream/OBJ/macrepo%3A77126.tiff"}}}	77126
[Golden Horseshoe Area, 1959-11-09] : [A16883-Photo 11]	Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72521	AirPhotos_Hamilton_1959-1962_A16883-11	1959	is_map	1959	aerial photo,AirPhotos_Hamilton_1959-1962	Golden Horseshoe (Ont.)	[Spartan Air Services Ltd.]	[Ottawa, Ont.]	Spartan Air Services Ltd.	[1:30,000 approximately]		43.27633	-79.755249	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72521/datastream/OBJ/macrepo%3A72521.tiff	{"data":{"type":"maps","attributes":{"title":"[Golden Horseshoe Area, 1959-11-09] : [A16883-Photo 11]","description":"Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72521","unique_id":"AirPhotos_Hamilton_1959-1962_A16883-11","date_depicted":"1959","map_type":"is_map","issue_year":"1959","tag_list":"aerial photo,AirPhotos_Hamilton_1959-1962","subject_area":"Golden Horseshoe (Ont.)","publisher":"[Spartan Air Services Ltd.]","publication_place":"[Ottawa, Ont.]","authors":"Spartan Air Services Ltd.","scale":"[1:30,000 approximately]","metadata_projection":"","metadata_lat":"43.27633","metadata_lon":"-79.755249","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72521/datastream/OBJ/macrepo%3A72521.tiff"}}}	72521
[Golden Horseshoe Area, 1959-11-09] : [A16883-Photo 12]	Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72392	AirPhotos_Hamilton_1959-1962_A16883-12	1959	is_map	1959	aerial photo,AirPhotos_Hamilton_1959-1962	Golden Horseshoe (Ont.)	[Spartan Air Services Ltd.]	[Ottawa, Ont.]	Spartan Air Services Ltd.	[1:30,000 approximately]		43.275456	-79.786835	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72392/datastream/OBJ/macrepo%3A72392.tiff	{"data":{"type":"maps","attributes":{"title":"[Golden Horseshoe Area, 1959-11-09] : [A16883-Photo 12]","description":"Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72392","unique_id":"AirPhotos_Hamilton_1959-1962_A16883-12","date_depicted":"1959","map_type":"is_map","issue_year":"1959","tag_list":"aerial photo,AirPhotos_Hamilton_1959-1962","subject_area":"Golden Horseshoe (Ont.)","publisher":"[Spartan Air Services Ltd.]","publication_place":"[Ottawa, Ont.]","authors":"Spartan Air Services Ltd.","scale":"[1:30,000 approximately]","metadata_projection":"","metadata_lat":"43.275456","metadata_lon":"-79.786835","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72392/datastream/OBJ/macrepo%3A72392.tiff"}}}	72392
[Golden Horseshoe Area, 1959-11-09] : [A16883-Photo 13]	Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72744	AirPhotos_Hamilton_1959-1962_A16883-13	1959	is_map	1959	aerial photo,AirPhotos_Hamilton_1959-1962	Golden Horseshoe (Ont.)	[Spartan Air Services Ltd.]	[Ottawa, Ont.]	Spartan Air Services Ltd.	[1:30,000 approximately]		43.275581	-79.818935	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72744/datastream/OBJ/macrepo%3A72744.tiff	{"data":{"type":"maps","attributes":{"title":"[Golden Horseshoe Area, 1959-11-09] : [A16883-Photo 13]","description":"Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72744","unique_id":"AirPhotos_Hamilton_1959-1962_A16883-13","date_depicted":"1959","map_type":"is_map","issue_year":"1959","tag_list":"aerial photo,AirPhotos_Hamilton_1959-1962","subject_area":"Golden Horseshoe (Ont.)","publisher":"[Spartan Air Services Ltd.]","publication_place":"[Ottawa, Ont.]","authors":"Spartan Air Services Ltd.","scale":"[1:30,000 approximately]","metadata_projection":"","metadata_lat":"43.275581","metadata_lon":"-79.818935","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72744/datastream/OBJ/macrepo%3A72744.tiff"}}}	72744
[Golden Horseshoe Area, 1959-11-09] : [A16883-Photo 14]	Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72374	AirPhotos_Hamilton_1959-1962_A16883-14	1959	is_map	1959	aerial photo,AirPhotos_Hamilton_1959-1962	Golden Horseshoe (Ont.)	[Spartan Air Services Ltd.]	[Ottawa, Ont.]	Spartan Air Services Ltd.	[1:30,000 approximately]		43.275956	-79.851723	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72374/datastream/OBJ/macrepo%3A72374.tiff	{"data":{"type":"maps","attributes":{"title":"[Golden Horseshoe Area, 1959-11-09] : [A16883-Photo 14]","description":"Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72374","unique_id":"AirPhotos_Hamilton_1959-1962_A16883-14","date_depicted":"1959","map_type":"is_map","issue_year":"1959","tag_list":"aerial photo,AirPhotos_Hamilton_1959-1962","subject_area":"Golden Horseshoe (Ont.)","publisher":"[Spartan Air Services Ltd.]","publication_place":"[Ottawa, Ont.]","authors":"Spartan Air Services Ltd.","scale":"[1:30,000 approximately]","metadata_projection":"","metadata_lat":"43.275956","metadata_lon":"-79.851723","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72374/datastream/OBJ/macrepo%3A72374.tiff"}}}	72374
[Golden Horseshoe Area, 1959-11-09] : [A16883-Photo 15]	Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72745	AirPhotos_Hamilton_1959-1962_A16883-15	1959	is_map	1959	aerial photo,AirPhotos_Hamilton_1959-1962	Golden Horseshoe (Ont.)	[Spartan Air Services Ltd.]	[Ottawa, Ont.]	Spartan Air Services Ltd.	[1:30,000 approximately]		43.274706	-79.890347	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72745/datastream/OBJ/macrepo%3A72745.tiff	{"data":{"type":"maps","attributes":{"title":"[Golden Horseshoe Area, 1959-11-09] : [A16883-Photo 15]","description":"Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72745","unique_id":"AirPhotos_Hamilton_1959-1962_A16883-15","date_depicted":"1959","map_type":"is_map","issue_year":"1959","tag_list":"aerial photo,AirPhotos_Hamilton_1959-1962","subject_area":"Golden Horseshoe (Ont.)","publisher":"[Spartan Air Services Ltd.]","publication_place":"[Ottawa, Ont.]","authors":"Spartan Air Services Ltd.","scale":"[1:30,000 approximately]","metadata_projection":"","metadata_lat":"43.274706","metadata_lon":"-79.890347","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72745/datastream/OBJ/macrepo%3A72745.tiff"}}}	72745
[Golden Horseshoe Area, 1959-11-09] : [A16883-Photo 16]	Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72393	AirPhotos_Hamilton_1959-1962_A16883-16	1959	is_map	1959	aerial photo,AirPhotos_Hamilton_1959-1962	Golden Horseshoe (Ont.)	[Spartan Air Services Ltd.]	[Ottawa, Ont.]	Spartan Air Services Ltd.	[1:30,000 approximately]		43.274956	-79.923477	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72393/datastream/OBJ/macrepo%3A72393.tiff	{"data":{"type":"maps","attributes":{"title":"[Golden Horseshoe Area, 1959-11-09] : [A16883-Photo 16]","description":"Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72393","unique_id":"AirPhotos_Hamilton_1959-1962_A16883-16","date_depicted":"1959","map_type":"is_map","issue_year":"1959","tag_list":"aerial photo,AirPhotos_Hamilton_1959-1962","subject_area":"Golden Horseshoe (Ont.)","publisher":"[Spartan Air Services Ltd.]","publication_place":"[Ottawa, Ont.]","authors":"Spartan Air Services Ltd.","scale":"[1:30,000 approximately]","metadata_projection":"","metadata_lat":"43.274956","metadata_lon":"-79.923477","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72393/datastream/OBJ/macrepo%3A72393.tiff"}}}	72393
[Golden Horseshoe Area, 1959-11-09] : [A16883-Photo 17]	Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77120	AirPhotos_Hamilton_1959-1962_A16883-17	1959	is_map	1959	aerial photo,AirPhotos_Hamilton_1959-1962	Golden Horseshoe (Ont.)	[Spartan Air Services Ltd.]	[Ottawa, Ont.]	Spartan Air Services Ltd.	[1:30,000 approximately]		43.274956	-79.956264	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77120/datastream/OBJ/macrepo%3A77120.tiff	{"data":{"type":"maps","attributes":{"title":"[Golden Horseshoe Area, 1959-11-09] : [A16883-Photo 17]","description":"Stereoscopic coverage. Shows all of the Niagara Peninsula, east of Brantford, Rockton, Guelph. Includes Halton Region south of Georgetown, Mississauga. Includes all of Wentworth County except parts of Flamborough. On verso: Department of Mines & Technical Surveys, government of Canada copyright. Source: Spartan Air Services Ltd. [Golden Horseshoe Area], Job 1086A.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77120","unique_id":"AirPhotos_Hamilton_1959-1962_A16883-17","date_depicted":"1959","map_type":"is_map","issue_year":"1959","tag_list":"aerial photo,AirPhotos_Hamilton_1959-1962","subject_area":"Golden Horseshoe (Ont.)","publisher":"[Spartan Air Services Ltd.]","publication_place":"[Ottawa, Ont.]","authors":"Spartan Air Services Ltd.","scale":"[1:30,000 approximately]","metadata_projection":"","metadata_lat":"43.274956","metadata_lon":"-79.956264","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77120/datastream/OBJ/macrepo%3A77120.tiff"}}}	77120
