"title"	"description"	"source_uri"	"unique_id"	"date_depicted"	"map_type"	"issue_year"	"tag_list"	"subject_area"	"publisher"	"publication_place"	"authors"	"scale"	"metadata_projection"	"metadata_lat"	"metadata_lon"	"upload_url"	import string	macrepo number
title	general_note	[DO NOT EDIT] DA url - created from macrepo automatically	identifier	year part of date_in	one of "is_map", "index", "not_map"	year part of date_in	minimum of ("aerial photo"; "topo map") add additional tag (with comma) that relates to series	subj_topic	publisher_name	publisher_location	personal_name or corporate_name	scale	string	latitude	longitude	DO NOT EDIT - URL to TIFF generated from macrepo number automatically. 	DO NOT EDIT - generated automatically from other fields	Generated automatically from Lookup (DO NOT EDIT) tab based on Identifier
[Wentworth County, excluding most of the City of Hamilton, 1960-05-21] : [60132-Photo 146]	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77673	AirPhotos_Hamilton_1960_60132-146	1960	is_map	1960	aerial photo,AirPhotos_Hamilton_1960	Hamilton-Wentworth (Ont.)	[Canadian Aero Service Ltd.]	[Place of publication unknown]	Canadian Aero Service Ltd.	[1:4,800]		43.25483	-80.196762	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77673/datastream/OBJ/macrepo%3A77673.tiff	{"data":{"type":"maps","attributes":{"title":"[Wentworth County, excluding most of the City of Hamilton, 1960-05-21] : [60132-Photo 146]","description":"Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77673","unique_id":"AirPhotos_Hamilton_1960_60132-146","date_depicted":"1960","map_type":"is_map","issue_year":"1960","tag_list":"aerial photo,AirPhotos_Hamilton_1960","subject_area":"Hamilton-Wentworth (Ont.)","publisher":"[Canadian Aero Service Ltd.]","publication_place":"[Place of publication unknown]","authors":"Canadian Aero Service Ltd.","scale":"[1:4,800]","metadata_projection":"","metadata_lat":"43.25483","metadata_lon":"-80.196762","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77673/datastream/OBJ/macrepo%3A77673.tiff"}}}	77673
[Wentworth County, excluding most of the City of Hamilton, 1960-05-21] : [60132-Photo 148]	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77607	AirPhotos_Hamilton_1960_60132-148	1960	is_map	1960	aerial photo,AirPhotos_Hamilton_1960	Hamilton-Wentworth (Ont.)	[Canadian Aero Service Ltd.]	[Place of publication unknown]	Canadian Aero Service Ltd.	[1:4,800]		43.241576	-80.161057	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77607/datastream/OBJ/macrepo%3A77607.tiff	{"data":{"type":"maps","attributes":{"title":"[Wentworth County, excluding most of the City of Hamilton, 1960-05-21] : [60132-Photo 148]","description":"Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77607","unique_id":"AirPhotos_Hamilton_1960_60132-148","date_depicted":"1960","map_type":"is_map","issue_year":"1960","tag_list":"aerial photo,AirPhotos_Hamilton_1960","subject_area":"Hamilton-Wentworth (Ont.)","publisher":"[Canadian Aero Service Ltd.]","publication_place":"[Place of publication unknown]","authors":"Canadian Aero Service Ltd.","scale":"[1:4,800]","metadata_projection":"","metadata_lat":"43.241576","metadata_lon":"-80.161057","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77607/datastream/OBJ/macrepo%3A77607.tiff"}}}	77607
[Wentworth County, excluding most of the City of Hamilton, 1960-05-21] : [60132-Photo 150]	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A78972	AirPhotos_Hamilton_1960_60132-150	1960	is_map	1960	aerial photo,AirPhotos_Hamilton_1960	Hamilton-Wentworth (Ont.)	[Canadian Aero Service Ltd.]	[Place of publication unknown]	Canadian Aero Service Ltd.	[1:4,800]		43.22832	-80.125179	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A78972/datastream/OBJ/macrepo%3A78972.tiff	{"data":{"type":"maps","attributes":{"title":"[Wentworth County, excluding most of the City of Hamilton, 1960-05-21] : [60132-Photo 150]","description":"Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A78972","unique_id":"AirPhotos_Hamilton_1960_60132-150","date_depicted":"1960","map_type":"is_map","issue_year":"1960","tag_list":"aerial photo,AirPhotos_Hamilton_1960","subject_area":"Hamilton-Wentworth (Ont.)","publisher":"[Canadian Aero Service Ltd.]","publication_place":"[Place of publication unknown]","authors":"Canadian Aero Service Ltd.","scale":"[1:4,800]","metadata_projection":"","metadata_lat":"43.22832","metadata_lon":"-80.125179","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A78972/datastream/OBJ/macrepo%3A78972.tiff"}}}	78972
[Wentworth County, excluding most of the City of Hamilton, 1960-05-21] : [60132-Photo 152]	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A78166	AirPhotos_Hamilton_1960_60132-152	1960	is_map	1960	aerial photo,AirPhotos_Hamilton_1960	Hamilton-Wentworth (Ont.)	[Canadian Aero Service Ltd.]	[Place of publication unknown]	Canadian Aero Service Ltd.	[1:4,800]		43.214935	-80.089302	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A78166/datastream/OBJ/macrepo%3A78166.tiff	{"data":{"type":"maps","attributes":{"title":"[Wentworth County, excluding most of the City of Hamilton, 1960-05-21] : [60132-Photo 152]","description":"Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A78166","unique_id":"AirPhotos_Hamilton_1960_60132-152","date_depicted":"1960","map_type":"is_map","issue_year":"1960","tag_list":"aerial photo,AirPhotos_Hamilton_1960","subject_area":"Hamilton-Wentworth (Ont.)","publisher":"[Canadian Aero Service Ltd.]","publication_place":"[Place of publication unknown]","authors":"Canadian Aero Service Ltd.","scale":"[1:4,800]","metadata_projection":"","metadata_lat":"43.214935","metadata_lon":"-80.089302","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A78166/datastream/OBJ/macrepo%3A78166.tiff"}}}	78166
[Wentworth County, excluding most of the City of Hamilton, 1960-05-21] : [60132-Photo 154]	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A76976	AirPhotos_Hamilton_1960_60132-154	1960	is_map	1960	aerial photo,AirPhotos_Hamilton_1960	Hamilton-Wentworth (Ont.)	[Canadian Aero Service Ltd.]	[Place of publication unknown]	Canadian Aero Service Ltd.	[1:4,800]		43.201672	-80.053596	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A76976/datastream/OBJ/macrepo%3A76976.tiff	{"data":{"type":"maps","attributes":{"title":"[Wentworth County, excluding most of the City of Hamilton, 1960-05-21] : [60132-Photo 154]","description":"Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A76976","unique_id":"AirPhotos_Hamilton_1960_60132-154","date_depicted":"1960","map_type":"is_map","issue_year":"1960","tag_list":"aerial photo,AirPhotos_Hamilton_1960","subject_area":"Hamilton-Wentworth (Ont.)","publisher":"[Canadian Aero Service Ltd.]","publication_place":"[Place of publication unknown]","authors":"Canadian Aero Service Ltd.","scale":"[1:4,800]","metadata_projection":"","metadata_lat":"43.201672","metadata_lon":"-80.053596","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A76976/datastream/OBJ/macrepo%3A76976.tiff"}}}	76976
[Wentworth County, excluding most of the City of Hamilton, 1960-05-21] : [60132-Photo 156]	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A78969	AirPhotos_Hamilton_1960_60132-156	1960	is_map	1960	aerial photo,AirPhotos_Hamilton_1960	Hamilton-Wentworth (Ont.)	[Canadian Aero Service Ltd.]	[Place of publication unknown]	Canadian Aero Service Ltd.	[1:4,800]		43.188407	-80.018063	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A78969/datastream/OBJ/macrepo%3A78969.tiff	{"data":{"type":"maps","attributes":{"title":"[Wentworth County, excluding most of the City of Hamilton, 1960-05-21] : [60132-Photo 156]","description":"Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A78969","unique_id":"AirPhotos_Hamilton_1960_60132-156","date_depicted":"1960","map_type":"is_map","issue_year":"1960","tag_list":"aerial photo,AirPhotos_Hamilton_1960","subject_area":"Hamilton-Wentworth (Ont.)","publisher":"[Canadian Aero Service Ltd.]","publication_place":"[Place of publication unknown]","authors":"Canadian Aero Service Ltd.","scale":"[1:4,800]","metadata_projection":"","metadata_lat":"43.188407","metadata_lon":"-80.018063","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A78969/datastream/OBJ/macrepo%3A78969.tiff"}}}	78969
[Wentworth County, excluding most of the City of Hamilton, 1960-05-21] : [60132-Photo 158]	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77002	AirPhotos_Hamilton_1960_60132-158	1960	is_map	1960	aerial photo,AirPhotos_Hamilton_1960	Hamilton-Wentworth (Ont.)	[Canadian Aero Service Ltd.]	[Place of publication unknown]	Canadian Aero Service Ltd.	[1:4,800]		43.175138	-79.9827	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77002/datastream/OBJ/macrepo%3A77002.tiff	{"data":{"type":"maps","attributes":{"title":"[Wentworth County, excluding most of the City of Hamilton, 1960-05-21] : [60132-Photo 158]","description":"Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77002","unique_id":"AirPhotos_Hamilton_1960_60132-158","date_depicted":"1960","map_type":"is_map","issue_year":"1960","tag_list":"aerial photo,AirPhotos_Hamilton_1960","subject_area":"Hamilton-Wentworth (Ont.)","publisher":"[Canadian Aero Service Ltd.]","publication_place":"[Place of publication unknown]","authors":"Canadian Aero Service Ltd.","scale":"[1:4,800]","metadata_projection":"","metadata_lat":"43.175138","metadata_lon":"-79.9827","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77002/datastream/OBJ/macrepo%3A77002.tiff"}}}	77002
[Wentworth County, excluding most of the City of Hamilton, 1960-05-21] : [60132-Photo 160]	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77880	AirPhotos_Hamilton_1960_60132-160	1960	is_map	1960	aerial photo,AirPhotos_Hamilton_1960	Hamilton-Wentworth (Ont.)	[Canadian Aero Service Ltd.]	[Place of publication unknown]	Canadian Aero Service Ltd.	[1:4,800]		43.161742	-79.946995	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77880/datastream/OBJ/macrepo%3A77880.tiff	{"data":{"type":"maps","attributes":{"title":"[Wentworth County, excluding most of the City of Hamilton, 1960-05-21] : [60132-Photo 160]","description":"Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77880","unique_id":"AirPhotos_Hamilton_1960_60132-160","date_depicted":"1960","map_type":"is_map","issue_year":"1960","tag_list":"aerial photo,AirPhotos_Hamilton_1960","subject_area":"Hamilton-Wentworth (Ont.)","publisher":"[Canadian Aero Service Ltd.]","publication_place":"[Place of publication unknown]","authors":"Canadian Aero Service Ltd.","scale":"[1:4,800]","metadata_projection":"","metadata_lat":"43.161742","metadata_lon":"-79.946995","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A77880/datastream/OBJ/macrepo%3A77880.tiff"}}}	77880
[Wentworth County, excluding most of the City of Hamilton, 1960-05-21] : [60132-Photo 162]	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A79843	AirPhotos_Hamilton_1960_60132-162	1960	is_map	1960	aerial photo,AirPhotos_Hamilton_1960	Hamilton-Wentworth (Ont.)	[Canadian Aero Service Ltd.]	[Place of publication unknown]	Canadian Aero Service Ltd.	[1:4,800]		43.148343	-79.911118	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A79843/datastream/OBJ/macrepo%3A79843.tiff	{"data":{"type":"maps","attributes":{"title":"[Wentworth County, excluding most of the City of Hamilton, 1960-05-21] : [60132-Photo 162]","description":"Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A79843","unique_id":"AirPhotos_Hamilton_1960_60132-162","date_depicted":"1960","map_type":"is_map","issue_year":"1960","tag_list":"aerial photo,AirPhotos_Hamilton_1960","subject_area":"Hamilton-Wentworth (Ont.)","publisher":"[Canadian Aero Service Ltd.]","publication_place":"[Place of publication unknown]","authors":"Canadian Aero Service Ltd.","scale":"[1:4,800]","metadata_projection":"","metadata_lat":"43.148343","metadata_lon":"-79.911118","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A79843/datastream/OBJ/macrepo%3A79843.tiff"}}}	79843
