"title"	"description"	"source_uri"	"unique_id"	"date_depicted"	"map_type"	"issue_year"	"tag_list"	"subject_area"	"publisher"	"publication_place"	"authors"	"scale"	"metadata_projection"	"metadata_lat"	"metadata_lon"	"upload_url"	import string	macrepo number
title	general_note	[DO NOT EDIT] DA url - created from macrepo automatically	identifier	year part of date_in	one of "is_map", "index", "not_map"	year part of date_in	minimum of ("aerial photo"; "topo map") add additional tag (with comma) that relates to series	subj_topic	publisher_name	publisher_location	personal_name or corporate_name	scale	string	latitude	longitude	DO NOT EDIT - URL to TIFF generated from macrepo number automatically. 	DO NOT EDIT - generated automatically from other fields	Generated automatically from Lookup (DO NOT EDIT) tab based on Identifier
Amiens	GSGS (Series); 4336. 1st ed. Compiled from G.SG.S. 2364.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8881	macrepo:8881	1943	is_map	1943	topo map, ww2_Belgium_100k		War Office	[London]	Great Britain. War Office. General Staff. Geographical Section.	1:100,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8881/datastream/OBJ/macrepo%3A8881.tiff	{"data":{"type":"maps","attributes":{"title":"Amiens","description":"GSGS (Series); 4336. 1st ed. Compiled from G.SG.S. 2364.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8881","unique_id":"macrepo:8881","date_depicted":"1943","map_type":"is_map","issue_year":"1943","tag_list":"topo map, ww2_Belgium_100k","subject_area":"","publisher":"War Office","publication_place":"[London]","authors":"Great Britain. War Office. General Staff. Geographical Section.","scale":"1:100,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8881/datastream/OBJ/macrepo%3A8881.tiff"}}}	8881
Antwerp	GSGS (Series); 4336. 1st ed. Compiled from G.SG.S. 2364.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8868	macrepo:8868	1943	is_map	1943	topo map, ww2_Belgium_100k		War Office	[London]	Great Britain. War Office. General Staff. Geographical Section.	1:100,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8868/datastream/OBJ/macrepo%3A8868.tiff	{"data":{"type":"maps","attributes":{"title":"Antwerp","description":"GSGS (Series); 4336. 1st ed. Compiled from G.SG.S. 2364.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8868","unique_id":"macrepo:8868","date_depicted":"1943","map_type":"is_map","issue_year":"1943","tag_list":"topo map, ww2_Belgium_100k","subject_area":"","publisher":"War Office","publication_place":"[London]","authors":"Great Britain. War Office. General Staff. Geographical Section.","scale":"1:100,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8868/datastream/OBJ/macrepo%3A8868.tiff"}}}	8868
Arlon	GSGS (Series); 4336. 1st ed. Compiled from G.SG.S. 2364.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8874	macrepo:8874	1943	is_map	1943	topo map, ww2_Belgium_100k		War Office	[London]	Great Britain. War Office. General Staff. Geographical Section.	1:100,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8874/datastream/OBJ/macrepo%3A8874.tiff	{"data":{"type":"maps","attributes":{"title":"Arlon","description":"GSGS (Series); 4336. 1st ed. Compiled from G.SG.S. 2364.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8874","unique_id":"macrepo:8874","date_depicted":"1943","map_type":"is_map","issue_year":"1943","tag_list":"topo map, ww2_Belgium_100k","subject_area":"","publisher":"War Office","publication_place":"[London]","authors":"Great Britain. War Office. General Staff. Geographical Section.","scale":"1:100,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8874/datastream/OBJ/macrepo%3A8874.tiff"}}}	8874
Beauvais	GSGS (Series); 4336. 1st ed. Compiled from G.SG.S. 2364.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8875	macrepo:8875	1943	is_map	1943	topo map, ww2_Belgium_100k		War Office	[London]	Great Britain. War Office. General Staff. Geographical Section.	1:100,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8875/datastream/OBJ/macrepo%3A8875.tiff	{"data":{"type":"maps","attributes":{"title":"Beauvais","description":"GSGS (Series); 4336. 1st ed. Compiled from G.SG.S. 2364.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8875","unique_id":"macrepo:8875","date_depicted":"1943","map_type":"is_map","issue_year":"1943","tag_list":"topo map, ww2_Belgium_100k","subject_area":"","publisher":"War Office","publication_place":"[London]","authors":"Great Britain. War Office. General Staff. Geographical Section.","scale":"1:100,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8875/datastream/OBJ/macrepo%3A8875.tiff"}}}	8875
Brussels	GSGS (Series); 4336. 1st ed. Compiled from G.SG.S. 2364.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8877	macrepo:8877	1943	is_map	1943	topo map, ww2_Belgium_100k		War Office	[London]	Great Britain. War Office. General Staff. Geographical Section.	1:100,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8877/datastream/OBJ/macrepo%3A8877.tiff	{"data":{"type":"maps","attributes":{"title":"Brussels","description":"GSGS (Series); 4336. 1st ed. Compiled from G.SG.S. 2364.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8877","unique_id":"macrepo:8877","date_depicted":"1943","map_type":"is_map","issue_year":"1943","tag_list":"topo map, ww2_Belgium_100k","subject_area":"","publisher":"War Office","publication_place":"[London]","authors":"Great Britain. War Office. General Staff. Geographical Section.","scale":"1:100,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8877/datastream/OBJ/macrepo%3A8877.tiff"}}}	8877
Calais	GSGS (Series); 4336. 1st ed. Compiled from G.SG.S. 2364.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8882	macrepo:8882	1943	is_map	1943	topo map, ww2_Belgium_100k		War Office	[London]	Great Britain. War Office. General Staff. Geographical Section.	1:100,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8882/datastream/OBJ/macrepo%3A8882.tiff	{"data":{"type":"maps","attributes":{"title":"Calais","description":"GSGS (Series); 4336. 1st ed. Compiled from G.SG.S. 2364.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8882","unique_id":"macrepo:8882","date_depicted":"1943","map_type":"is_map","issue_year":"1943","tag_list":"topo map, ww2_Belgium_100k","subject_area":"","publisher":"War Office","publication_place":"[London]","authors":"Great Britain. War Office. General Staff. Geographical Section.","scale":"1:100,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8882/datastream/OBJ/macrepo%3A8882.tiff"}}}	8882
Dunkerque	GSGS (Series); 4336. 2nd ed. Compiled from G.SG.S. 2364.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8867	macrepo:8867	1943	is_map	1943	topo map, ww2_Belgium_100k		War Office	[London]	Great Britain. War Office. General Staff. Geographical Section.	1:100,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8867/datastream/OBJ/macrepo%3A8867.tiff	{"data":{"type":"maps","attributes":{"title":"Dunkerque","description":"GSGS (Series); 4336. 2nd ed. Compiled from G.SG.S. 2364.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8867","unique_id":"macrepo:8867","date_depicted":"1943","map_type":"is_map","issue_year":"1943","tag_list":"topo map, ww2_Belgium_100k","subject_area":"","publisher":"War Office","publication_place":"[London]","authors":"Great Britain. War Office. General Staff. Geographical Section.","scale":"1:100,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8867/datastream/OBJ/macrepo%3A8867.tiff"}}}	8867
Ghent	GSGS (Series); 4336. 1st ed. Compiled from G.SG.S. 2364.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8886	macrepo:8886	1943	is_map	1943	topo map, ww2_Belgium_100k		War Office	[London]	Great Britain. War Office. General Staff. Geographical Section.	1:100,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8886/datastream/OBJ/macrepo%3A8886.tiff	{"data":{"type":"maps","attributes":{"title":"Ghent","description":"GSGS (Series); 4336. 1st ed. Compiled from G.SG.S. 2364.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8886","unique_id":"macrepo:8886","date_depicted":"1943","map_type":"is_map","issue_year":"1943","tag_list":"topo map, ww2_Belgium_100k","subject_area":"","publisher":"War Office","publication_place":"[London]","authors":"Great Britain. War Office. General Staff. Geographical Section.","scale":"1:100,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8886/datastream/OBJ/macrepo%3A8886.tiff"}}}	8886
Hazebrouck	GSGS (Series); 4336. 1st ed. Compiled from G.SG.S. 2364.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8887	macrepo:8887	1942	is_map	1942	topo map, ww2_Belgium_100k		War Office	[London]	Great Britain. War Office. General Staff. Geographical Section.	1:100,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8887/datastream/OBJ/macrepo%3A8887.tiff	{"data":{"type":"maps","attributes":{"title":"Hazebrouck","description":"GSGS (Series); 4336. 1st ed. Compiled from G.SG.S. 2364.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8887","unique_id":"macrepo:8887","date_depicted":"1942","map_type":"is_map","issue_year":"1942","tag_list":"topo map, ww2_Belgium_100k","subject_area":"","publisher":"War Office","publication_place":"[London]","authors":"Great Britain. War Office. General Staff. Geographical Section.","scale":"1:100,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8887/datastream/OBJ/macrepo%3A8887.tiff"}}}	8887
