"title"	"description"	"source_uri"	"unique_id"	"date_depicted"	"map_type"	"issue_year"	"tag_list"	"subject_area"	"publisher"	"publication_place"	"authors"	"scale"	"metadata_projection"	"metadata_lat"	"metadata_lon"	"upload_url"	import string	macrepo number
title	general_note	[DO NOT EDIT] DA url - created from macrepo automatically	identifier	year part of date_in	one of "is_map", "index", "not_map"	year part of date_in	minimum of ("aerial photo"; "topo map") add additional tag (with comma) that relates to series	subj_topic	publisher_name	publisher_location	personal_name or corporate_name	scale	string	latitude	longitude	DO NOT EDIT - URL to TIFF generated from macrepo number automatically. 	DO NOT EDIT - generated automatically from other fields	Generated automatically from Lookup (DO NOT EDIT) tab based on Identifier
Tsuchizaki	US AMS series L902. Edition 1. Relief shown by contour lines and spot heights. 'For use by War and Navy Department Agencies only. Not for sale or distribution.' Latitude and Longitude and Military Grid coordinate systems present. Held in the Lloyd Reeds Map Collection, call no. G 7960 s12 MC54E	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89268	WW2_CityPlans_Japan_Tsuchizaki	1945	is_map	1945	topo map, WW2_CityPlans_Japan	Japan	Army Map Service	United States	United States. Army Map Service	1:12,500		39.752083	140.0694445	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89268/datastream/OBJ/macrepo%3A89268.tiff	{"data":{"type":"maps","attributes":{"title":"Tsuchizaki","description":"US AMS series L902. Edition 1. Relief shown by contour lines and spot heights. 'For use by War and Navy Department Agencies only. Not for sale or distribution.' Latitude and Longitude and Military Grid coordinate systems present. Held in the Lloyd Reeds Map Collection, call no. G 7960 s12 MC54E","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89268","unique_id":"WW2_CityPlans_Japan_Tsuchizaki","date_depicted":"1945","map_type":"is_map","issue_year":"1945","tag_list":"topo map, WW2_CityPlans_Japan","subject_area":"Japan","publisher":"Army Map Service","publication_place":"United States","authors":"United States. Army Map Service","scale":"1:12,500","metadata_projection":"","metadata_lat":"39.752083","metadata_lon":"140.0694445","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89268/datastream/OBJ/macrepo%3A89268.tiff"}}}	89268
Tsuyama	US AMS series L902. Relief shown by contour lines and spot heights. Latitude and Longitude coordinate system only. No Military Grid. Held in the Lloyd Reeds Map Collection, call no. G 7960 s12 MC54E 	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89269	WW2_CityPlans_Japan_Tsuyama	1945	is_map	1945	topo map, WW2_CityPlans_Japan	Japan	Army Map Service	United States	United States. Army Map Service	1:12,500		35.0599965	134.0083335	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89269/datastream/OBJ/macrepo%3A89269.tiff	{"data":{"type":"maps","attributes":{"title":"Tsuyama","description":"US AMS series L902. Relief shown by contour lines and spot heights. Latitude and Longitude coordinate system only. No Military Grid. Held in the Lloyd Reeds Map Collection, call no. G 7960 s12 MC54E ","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89269","unique_id":"WW2_CityPlans_Japan_Tsuyama","date_depicted":"1945","map_type":"is_map","issue_year":"1945","tag_list":"topo map, WW2_CityPlans_Japan","subject_area":"Japan","publisher":"Army Map Service","publication_place":"United States","authors":"United States. Army Map Service","scale":"1:12,500","metadata_projection":"","metadata_lat":"35.0599965","metadata_lon":"134.0083335","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89269/datastream/OBJ/macrepo%3A89269.tiff"}}}	89269
Niitsu	US AMS series L902. Edition 1. Inset: Oil Field 1:50,000. 'For use by War and Navy Department Agencies only. Not for sale or distribution.' Latitude and Longitude and Military Grid coordinate systems present. Held in the Lloyd Reeds Map Collection, call no. G 7960 s12 MC54E	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89014	WW2_CityPlans_Japan_Niitsu_edAMS1_1945	1945	is_map	1945	topo map, WW2_CityPlans_Japan	Japan	Army Map Service	United States	United States. Army Map Service	1:12,500		37.8	139.1333335	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89014/datastream/OBJ/macrepo%3A89014.tiff	{"data":{"type":"maps","attributes":{"title":"Niitsu","description":"US AMS series L902. Edition 1. Inset: Oil Field 1:50,000. 'For use by War and Navy Department Agencies only. Not for sale or distribution.' Latitude and Longitude and Military Grid coordinate systems present. Held in the Lloyd Reeds Map Collection, call no. G 7960 s12 MC54E","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89014","unique_id":"WW2_CityPlans_Japan_Niitsu_edAMS1_1945","date_depicted":"1945","map_type":"is_map","issue_year":"1945","tag_list":"topo map, WW2_CityPlans_Japan","subject_area":"Japan","publisher":"Army Map Service","publication_place":"United States","authors":"United States. Army Map Service","scale":"1:12,500","metadata_projection":"","metadata_lat":"37.8","metadata_lon":"139.1333335","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89014/datastream/OBJ/macrepo%3A89014.tiff"}}}	89014
Makurazaki	US AMS series L902, Type F. Edition 1.  Prepared from aerial photography dated March, 1945. Additional information regarding compilation data included in text and diagram. Glossary. 'For use by War and Navy Department Agencies only. Not for sale or distribution.' Latitude and Longitude and Military Grid coordinate systems present. Held in the Lloyd Reeds Map Collection, call no. G 7960 s12 MC54E	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89005	WW2_CityPlans_Japan_Makurazaki_edAMS1_1945	1945	is_map	1945	topo map, WW2_CityPlans_Japan	Japan	Army Map Service	United States	United States. Army Map Service	1:12,500		31.27125	130.2941665	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89005/datastream/OBJ/macrepo%3A89005.tiff	{"data":{"type":"maps","attributes":{"title":"Makurazaki","description":"US AMS series L902, Type F. Edition 1.  Prepared from aerial photography dated March, 1945. Additional information regarding compilation data included in text and diagram. Glossary. 'For use by War and Navy Department Agencies only. Not for sale or distribution.' Latitude and Longitude and Military Grid coordinate systems present. Held in the Lloyd Reeds Map Collection, call no. G 7960 s12 MC54E","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89005","unique_id":"WW2_CityPlans_Japan_Makurazaki_edAMS1_1945","date_depicted":"1945","map_type":"is_map","issue_year":"1945","tag_list":"topo map, WW2_CityPlans_Japan","subject_area":"Japan","publisher":"Army Map Service","publication_place":"United States","authors":"United States. Army Map Service","scale":"1:12,500","metadata_projection":"","metadata_lat":"31.27125","metadata_lon":"130.2941665","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89005/datastream/OBJ/macrepo%3A89005.tiff"}}}	89005
Kure	US AMS series L902. Edition 1. Prepared from aerial photography dated 1945. Latitude and Longitude and Military Grid coordinate systems present. Held in the Lloyd Reeds Map Collection, call no. G 7960 s12 MC54E	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89002	WW2_CityPlans_Japan_Kure_edAMS1_1945	1945	is_map	1945	topo map, WW2_CityPlans_Japan	Japan	Army Map Service	United States	United States. Army Map Service	1:12,500		34.238889	132.55	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89002/datastream/OBJ/macrepo%3A89002.tiff	{"data":{"type":"maps","attributes":{"title":"Kure","description":"US AMS series L902. Edition 1. Prepared from aerial photography dated 1945. Latitude and Longitude and Military Grid coordinate systems present. Held in the Lloyd Reeds Map Collection, call no. G 7960 s12 MC54E","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89002","unique_id":"WW2_CityPlans_Japan_Kure_edAMS1_1945","date_depicted":"1945","map_type":"is_map","issue_year":"1945","tag_list":"topo map, WW2_CityPlans_Japan","subject_area":"Japan","publisher":"Army Map Service","publication_place":"United States","authors":"United States. Army Map Service","scale":"1:12,500","metadata_projection":"","metadata_lat":"34.238889","metadata_lon":"132.55","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89002/datastream/OBJ/macrepo%3A89002.tiff"}}}	89002
Kyoto South	US AMS series L902. 'Preliminary Uncorrect Edition'. Prepared from aerial photography dated 1945. Inset: Plan of Kyoto-Osaka area, Scale 1:437,500, 17 x 20 cm. Latitude and Longitude coordinate system only. No Military Grid. Held in the Lloyd Reeds Map Collection, call no. G 7960 s12 MC54E 	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89003	WW2_CityPlans_Japan_KyotoSouth_1945	1945	is_map	1945	topo map, WW2_CityPlans_Japan	Japan	Army Map Service	United States	United States. Army Map Service	1:12,500		34.872222	135.7520835	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89003/datastream/OBJ/macrepo%3A89003.tiff	{"data":{"type":"maps","attributes":{"title":"Kyoto South","description":"US AMS series L902. 'Preliminary Uncorrect Edition'. Prepared from aerial photography dated 1945. Inset: Plan of Kyoto-Osaka area, Scale 1:437,500, 17 x 20 cm. Latitude and Longitude coordinate system only. No Military Grid. Held in the Lloyd Reeds Map Collection, call no. G 7960 s12 MC54E ","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89003","unique_id":"WW2_CityPlans_Japan_KyotoSouth_1945","date_depicted":"1945","map_type":"is_map","issue_year":"1945","tag_list":"topo map, WW2_CityPlans_Japan","subject_area":"Japan","publisher":"Army Map Service","publication_place":"United States","authors":"United States. Army Map Service","scale":"1:12,500","metadata_projection":"","metadata_lat":"34.872222","metadata_lon":"135.7520835","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89003/datastream/OBJ/macrepo%3A89003.tiff"}}}	89003
Maebashi	US AMS series L902. Prepared from aerial photography dated 1944. Latitude and Longitude coordinate system only. No Military Grid. Held in the Lloyd Reeds Map Collection, call no. G 7960 s12 MC54E 	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89004	WW2_CityPlans_Japan_Maebashi	1945	is_map	1945	topo map, WW2_CityPlans_Japan	Japan	Army Map Service	United States	United States. Army Map Service	1:12,500		36.391667	139.159722	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89004/datastream/OBJ/macrepo%3A89004.tiff	{"data":{"type":"maps","attributes":{"title":"Maebashi","description":"US AMS series L902. Prepared from aerial photography dated 1944. Latitude and Longitude coordinate system only. No Military Grid. Held in the Lloyd Reeds Map Collection, call no. G 7960 s12 MC54E ","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89004","unique_id":"WW2_CityPlans_Japan_Maebashi","date_depicted":"1945","map_type":"is_map","issue_year":"1945","tag_list":"topo map, WW2_CityPlans_Japan","subject_area":"Japan","publisher":"Army Map Service","publication_place":"United States","authors":"United States. Army Map Service","scale":"1:12,500","metadata_projection":"","metadata_lat":"36.391667","metadata_lon":"139.159722","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89004/datastream/OBJ/macrepo%3A89004.tiff"}}}	89004
Matsue	US AMS series L902. Prepared from aerial photography dated December 1944. Latitude and Longitude coordinate system only. No Military Grid. Held in the Lloyd Reeds Map Collection, call no. G 7960 s12 MC54E	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89006	WW2_CityPlans_Japan_Matsue	1945	is_map	1945	topo map, WW2_CityPlans_Japan	Japan	Army Map Service	United States	United States. Army Map Service	1:12,500		33.9590275	133.0520835	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89006/datastream/OBJ/macrepo%3A89006.tiff	{"data":{"type":"maps","attributes":{"title":"Matsue","description":"US AMS series L902. Prepared from aerial photography dated December 1944. Latitude and Longitude coordinate system only. No Military Grid. Held in the Lloyd Reeds Map Collection, call no. G 7960 s12 MC54E","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89006","unique_id":"WW2_CityPlans_Japan_Matsue","date_depicted":"1945","map_type":"is_map","issue_year":"1945","tag_list":"topo map, WW2_CityPlans_Japan","subject_area":"Japan","publisher":"Army Map Service","publication_place":"United States","authors":"United States. Army Map Service","scale":"1:12,500","metadata_projection":"","metadata_lat":"33.9590275","metadata_lon":"133.0520835","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89006/datastream/OBJ/macrepo%3A89006.tiff"}}}	89006
Minamata	US AMS Series L902, Type F. Edition 1. Prepared from aerial photography dated May 1945. Latitude and Longitude and Military Grid coordinate systems present. Held in the Lloyd Reeds Map Collection, call no. G 7960 s12 MC54E	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89008	WW2_CityPlans_Japan_Minamata_edAMS1_1945	1945	is_map	1945	topo map, WW2_CityPlans_Japan	Japan	Army Map Service	United States	United States. Army Map Service	1:12,500		32.208333	130.3895835	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89008/datastream/OBJ/macrepo%3A89008.tiff	{"data":{"type":"maps","attributes":{"title":"Minamata","description":"US AMS Series L902, Type F. Edition 1. Prepared from aerial photography dated May 1945. Latitude and Longitude and Military Grid coordinate systems present. Held in the Lloyd Reeds Map Collection, call no. G 7960 s12 MC54E","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89008","unique_id":"WW2_CityPlans_Japan_Minamata_edAMS1_1945","date_depicted":"1945","map_type":"is_map","issue_year":"1945","tag_list":"topo map, WW2_CityPlans_Japan","subject_area":"Japan","publisher":"Army Map Service","publication_place":"United States","authors":"United States. Army Map Service","scale":"1:12,500","metadata_projection":"","metadata_lat":"32.208333","metadata_lon":"130.3895835","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89008/datastream/OBJ/macrepo%3A89008.tiff"}}}	89008
