"title"	"description"	"source_uri"	"unique_id"	"date_depicted"	"map_type"	"issue_year"	"tag_list"	"subject_area"	"publisher"	"publication_place"	"authors"	"scale"	"metadata_projection"	"metadata_lat"	"metadata_lon"	"upload_url"	import string	macrepo number
title	general_note	[DO NOT EDIT] DA url - created from macrepo automatically	identifier	year part of date_in	one of "is_map", "index", "not_map"	year part of date_in	minimum of ("aerial photo"; "topo map") add additional tag (with comma) that relates to series	subj_topic	publisher_name	publisher_location	personal_name or corporate_name	scale	string	latitude	longitude	DO NOT EDIT - URL to TIFF generated from macrepo number automatically. 	DO NOT EDIT - generated automatically from other fields	Generated automatically from Lookup (DO NOT EDIT) tab based on Identifier
Caen	GSGS (series); 4326. Sheet 29. This sheet was originally published by the Depot de la Guerre in 1839. It was mounted on linen and the gaps along the folds between paper panels show up as horizontal and vertical white lines in this reproduction. These maps were reproduced by the British during WWII in preparation for Operations Overlord and Anvil. Only the sheets covering the northern and southern coasts of France were reproduced. These maps were essential for determining potential locations of airfields, supply depots, road construction materials, and overland transportation routes. The left and right margins contain more information on the geologic formations. This map is held in the Lloyd Reeds Map Collection, call number G 5831 .C5 s80 MC64A.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89271	WW2_Geologic_France_80k_029	1942	is_map	1942	geologic map, WW2_Geologic_France_80k	France	War Office	[London]	Great Britain. War Office. General Staff. Geographical Section	1:80,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89271/datastream/OBJ/macrepo%3A89271.tiff	{"data":{"type":"maps","attributes":{"title":"Caen","description":"GSGS (series); 4326. Sheet 29. This sheet was originally published by the Depot de la Guerre in 1839. It was mounted on linen and the gaps along the folds between paper panels show up as horizontal and vertical white lines in this reproduction. These maps were reproduced by the British during WWII in preparation for Operations Overlord and Anvil. Only the sheets covering the northern and southern coasts of France were reproduced. These maps were essential for determining potential locations of airfields, supply depots, road construction materials, and overland transportation routes. The left and right margins contain more information on the geologic formations. This map is held in the Lloyd Reeds Map Collection, call number G 5831 .C5 s80 MC64A.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89271","unique_id":"WW2_Geologic_France_80k_029","date_depicted":"1942","map_type":"is_map","issue_year":"1942","tag_list":"geologic map, WW2_Geologic_France_80k","subject_area":"France","publisher":"War Office","publication_place":"[London]","authors":"Great Britain. War Office. General Staff. Geographical Section","scale":"1:80,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89271/datastream/OBJ/macrepo%3A89271.tiff"}}}	89271
St Lo	GSGS (series); 4326. Sheet 28. This sheet was originally published by the Depot de la Guerre in 1839. It was mounted on linen and the gaps along the folds between paper panels show up as horizontal and vertical white lines in this reproduction. These maps were reproduced by the British during WWII in preparation for Operations Overlord and Anvil. Only the sheets covering the northern and southern coasts of France were reproduced. These maps were essential for determining potential locations of airfields, supply depots, road construction materials, and overland transportation routes. The left and right margins contain more information on the geologic formations. This map is held in the Lloyd Reeds Map Collection, call number G 5831 .C5 s80 MC64A.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89270	WW2_Geologic_France_80k_028	1942	is_map	1942	geologic map, WW2_Geologic_France_80k	France	War Office	[London]	Great Britain. War Office. General Staff. Geographical Section	1:80,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89270/datastream/OBJ/macrepo%3A89270.tiff	{"data":{"type":"maps","attributes":{"title":"St Lo","description":"GSGS (series); 4326. Sheet 28. This sheet was originally published by the Depot de la Guerre in 1839. It was mounted on linen and the gaps along the folds between paper panels show up as horizontal and vertical white lines in this reproduction. These maps were reproduced by the British during WWII in preparation for Operations Overlord and Anvil. Only the sheets covering the northern and southern coasts of France were reproduced. These maps were essential for determining potential locations of airfields, supply depots, road construction materials, and overland transportation routes. The left and right margins contain more information on the geologic formations. This map is held in the Lloyd Reeds Map Collection, call number G 5831 .C5 s80 MC64A.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89270","unique_id":"WW2_Geologic_France_80k_028","date_depicted":"1942","map_type":"is_map","issue_year":"1942","tag_list":"geologic map, WW2_Geologic_France_80k","subject_area":"France","publisher":"War Office","publication_place":"[London]","authors":"Great Britain. War Office. General Staff. Geographical Section","scale":"1:80,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89270/datastream/OBJ/macrepo%3A89270.tiff"}}}	89270
Calais	GSGS (series); 4326. Sheet 1, recto. This sheet was originally published by the Depot de la Guerre in 1839. It was mounted on linen and the gaps along the folds between paper panels show up as horizontal and vertical white lines in this reproduction. These maps were reproduced by the British during WWII in preparation for Operations Overlord and Anvil. Only the sheets covering the northern and southern coasts of France were reproduced. These maps were essential for determining potential locations of airfields, supply depots, road construction materials, and overland transportation routes. Contains an explanation of the geologic features continued on verso. This map is held in the Lloyd Reeds Map Collection, call number G 5831 .C5 s80 MC64A.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89028	WW2_Geologic_France_80k_001_r	1942	is_map	1942	geologic map, WW2_Geologic_France_80k	France	War Office	[London]	Great Britain. War Office. General Staff. Geographical Section	1:80,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89028/datastream/OBJ/macrepo%3A89028.tiff	{"data":{"type":"maps","attributes":{"title":"Calais","description":"GSGS (series); 4326. Sheet 1, recto. This sheet was originally published by the Depot de la Guerre in 1839. It was mounted on linen and the gaps along the folds between paper panels show up as horizontal and vertical white lines in this reproduction. These maps were reproduced by the British during WWII in preparation for Operations Overlord and Anvil. Only the sheets covering the northern and southern coasts of France were reproduced. These maps were essential for determining potential locations of airfields, supply depots, road construction materials, and overland transportation routes. Contains an explanation of the geologic features continued on verso. This map is held in the Lloyd Reeds Map Collection, call number G 5831 .C5 s80 MC64A.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89028","unique_id":"WW2_Geologic_France_80k_001_r","date_depicted":"1942","map_type":"is_map","issue_year":"1942","tag_list":"geologic map, WW2_Geologic_France_80k","subject_area":"France","publisher":"War Office","publication_place":"[London]","authors":"Great Britain. War Office. General Staff. Geographical Section","scale":"1:80,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89028/datastream/OBJ/macrepo%3A89028.tiff"}}}	89028
Calais	GSGS (series); 4326. This is the reverse side of Sheet 1. This is the legend for the geologic features pictured on the front. This map is held in the Lloyd Reeds Map Collection, call number G 5831 .C5 s80 MC64A.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89029	WW2_Geologic_France_80k_001_v	1942	is_map	1942	geologic map, WW2_Geologic_France_80k	France	War Office	[London]	Great Britain. War Office. General Staff. Geographical Section	1:80,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89029/datastream/OBJ/macrepo%3A89029.tiff	{"data":{"type":"maps","attributes":{"title":"Calais","description":"GSGS (series); 4326. This is the reverse side of Sheet 1. This is the legend for the geologic features pictured on the front. This map is held in the Lloyd Reeds Map Collection, call number G 5831 .C5 s80 MC64A.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89029","unique_id":"WW2_Geologic_France_80k_001_v","date_depicted":"1942","map_type":"is_map","issue_year":"1942","tag_list":"geologic map, WW2_Geologic_France_80k","subject_area":"France","publisher":"War Office","publication_place":"[London]","authors":"Great Britain. War Office. General Staff. Geographical Section","scale":"1:80,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89029/datastream/OBJ/macrepo%3A89029.tiff"}}}	89029
Dunkerque	GSGS (series); 4326. Sheet 2. This sheet was originally published by the Depot de la Guerre in 1839. It was mounted on linen and the gaps along the folds between paper panels show up as horizontal and vertical white lines in this reproduction. These maps were reproduced by the British during WWII in preparation for Operations Overlord and Anvil. Only the sheets covering the northern and southern coasts of France were reproduced. These maps were essential for determining potential locations of airfields, supply depots, road construction materials, and overland transportation routes. Contains an explanation of the geologic features continued on verso. This map is held in the Lloyd Reeds Map Collection, call number G 5831 .C5 s80 MC64A.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89030	WW2_Geologic_France_80k_002_r	1942	is_map	1942	geologic map, WW2_Geologic_France_80k	France	War Office	[London]	Great Britain. War Office. General Staff. Geographical Section	1:80,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89030/datastream/OBJ/macrepo%3A89030.tiff	{"data":{"type":"maps","attributes":{"title":"Dunkerque","description":"GSGS (series); 4326. Sheet 2. This sheet was originally published by the Depot de la Guerre in 1839. It was mounted on linen and the gaps along the folds between paper panels show up as horizontal and vertical white lines in this reproduction. These maps were reproduced by the British during WWII in preparation for Operations Overlord and Anvil. Only the sheets covering the northern and southern coasts of France were reproduced. These maps were essential for determining potential locations of airfields, supply depots, road construction materials, and overland transportation routes. Contains an explanation of the geologic features continued on verso. This map is held in the Lloyd Reeds Map Collection, call number G 5831 .C5 s80 MC64A.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89030","unique_id":"WW2_Geologic_France_80k_002_r","date_depicted":"1942","map_type":"is_map","issue_year":"1942","tag_list":"geologic map, WW2_Geologic_France_80k","subject_area":"France","publisher":"War Office","publication_place":"[London]","authors":"Great Britain. War Office. General Staff. Geographical Section","scale":"1:80,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89030/datastream/OBJ/macrepo%3A89030.tiff"}}}	89030
Dunkerque	GSGS (series); 4326. This is the reverse side of Sheet 2. This is the legend for the geologic features pictured on the front. This map is held in the Lloyd Reeds Map Collection, call number G 5831 .C5 s80 MC64A.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89031	WW2_Geologic_France_80k_002_v	1942	is_map	1942	geologic map, WW2_Geologic_France_80k	France	War Office	[London]	Great Britain. War Office. General Staff. Geographical Section	1:80,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89031/datastream/OBJ/macrepo%3A89031.tiff	{"data":{"type":"maps","attributes":{"title":"Dunkerque","description":"GSGS (series); 4326. This is the reverse side of Sheet 2. This is the legend for the geologic features pictured on the front. This map is held in the Lloyd Reeds Map Collection, call number G 5831 .C5 s80 MC64A.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89031","unique_id":"WW2_Geologic_France_80k_002_v","date_depicted":"1942","map_type":"is_map","issue_year":"1942","tag_list":"geologic map, WW2_Geologic_France_80k","subject_area":"France","publisher":"War Office","publication_place":"[London]","authors":"Great Britain. War Office. General Staff. Geographical Section","scale":"1:80,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89031/datastream/OBJ/macrepo%3A89031.tiff"}}}	89031
Boulogne	GSGS (series); 4326. Sheet 3. This sheet was originally published by the Depot de la Guerre in 1839. It was mounted on linen and the gaps along the folds between paper panels show up as horizontal and vertical white lines in this reproduction. These maps were reproduced by the British during WWII in preparation for Operations Overlord and Anvil. Only the sheets covering the northern and southern coasts of France were reproduced. These maps were essential for determining potential locations of airfields, supply depots, road construction materials, and overland transportation routes. Contains an explanation of the geologic features continued on verso. This map is held in the Lloyd Reeds Map Collection, call number G 5831 .C5 s80 MC64A.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89032	WW2_Geologic_France_80k_003_r	1942	is_map	1942	geologic map, WW2_Geologic_France_80k	France	War Office	[London]	Great Britain. War Office. General Staff. Geographical Section	1:80,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89032/datastream/OBJ/macrepo%3A89032.tiff	{"data":{"type":"maps","attributes":{"title":"Boulogne","description":"GSGS (series); 4326. Sheet 3. This sheet was originally published by the Depot de la Guerre in 1839. It was mounted on linen and the gaps along the folds between paper panels show up as horizontal and vertical white lines in this reproduction. These maps were reproduced by the British during WWII in preparation for Operations Overlord and Anvil. Only the sheets covering the northern and southern coasts of France were reproduced. These maps were essential for determining potential locations of airfields, supply depots, road construction materials, and overland transportation routes. Contains an explanation of the geologic features continued on verso. This map is held in the Lloyd Reeds Map Collection, call number G 5831 .C5 s80 MC64A.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89032","unique_id":"WW2_Geologic_France_80k_003_r","date_depicted":"1942","map_type":"is_map","issue_year":"1942","tag_list":"geologic map, WW2_Geologic_France_80k","subject_area":"France","publisher":"War Office","publication_place":"[London]","authors":"Great Britain. War Office. General Staff. Geographical Section","scale":"1:80,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89032/datastream/OBJ/macrepo%3A89032.tiff"}}}	89032
Boulogne	GSGS (series); 4326. This is the reverse side of Sheet 3. This is the legend for the geologic features pictured on the front. This map is held in the Lloyd Reeds Map Collection, call number G 5831 .C5 s80 MC64A.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89033	WW2_Geologic_France_80k_003_v	1942	is_map	1942	geologic map, WW2_Geologic_France_80k	France	War Office	[London]	Great Britain. War Office. General Staff. Geographical Section	1:80,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89033/datastream/OBJ/macrepo%3A89033.tiff	{"data":{"type":"maps","attributes":{"title":"Boulogne","description":"GSGS (series); 4326. This is the reverse side of Sheet 3. This is the legend for the geologic features pictured on the front. This map is held in the Lloyd Reeds Map Collection, call number G 5831 .C5 s80 MC64A.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89033","unique_id":"WW2_Geologic_France_80k_003_v","date_depicted":"1942","map_type":"is_map","issue_year":"1942","tag_list":"geologic map, WW2_Geologic_France_80k","subject_area":"France","publisher":"War Office","publication_place":"[London]","authors":"Great Britain. War Office. General Staff. Geographical Section","scale":"1:80,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89033/datastream/OBJ/macrepo%3A89033.tiff"}}}	89033
Saint-Omer	GSGS (series); 4326. Sheet 4. This sheet was originally published by the Depot de la Guerre in 1839. It was mounted on linen and the gaps along the folds between paper panels show up as horizontal and vertical white lines in this reproduction. These maps were reproduced by the British during WWII in preparation for Operations Overlord and Anvil. Only the sheets covering the northern and southern coasts of France were reproduced. These maps were essential for determining potential locations of airfields, supply depots, road construction materials, and overland transportation routes. Contains an explanation of the geologic features continued on verso. This map is held in the Lloyd Reeds Map Collection, call number G 5831 .C5 s80 MC64A.	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89034	WW2_Geologic_France_80k_004_r	1942	is_map	1942	geologic map, WW2_Geologic_France_80k	France	War Office	[London]	Great Britain. War Office. General Staff. Geographical Section	1:80,000				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89034/datastream/OBJ/macrepo%3A89034.tiff	{"data":{"type":"maps","attributes":{"title":"Saint-Omer","description":"GSGS (series); 4326. Sheet 4. This sheet was originally published by the Depot de la Guerre in 1839. It was mounted on linen and the gaps along the folds between paper panels show up as horizontal and vertical white lines in this reproduction. These maps were reproduced by the British during WWII in preparation for Operations Overlord and Anvil. Only the sheets covering the northern and southern coasts of France were reproduced. These maps were essential for determining potential locations of airfields, supply depots, road construction materials, and overland transportation routes. Contains an explanation of the geologic features continued on verso. This map is held in the Lloyd Reeds Map Collection, call number G 5831 .C5 s80 MC64A.","source_uri":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89034","unique_id":"WW2_Geologic_France_80k_004_r","date_depicted":"1942","map_type":"is_map","issue_year":"1942","tag_list":"geologic map, WW2_Geologic_France_80k","subject_area":"France","publisher":"War Office","publication_place":"[London]","authors":"Great Britain. War Office. General Staff. Geographical Section","scale":"1:80,000","metadata_projection":"","metadata_lat":"","metadata_lon":"","upload_url":"https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A89034/datastream/OBJ/macrepo%3A89034.tiff"}}}	89034
