macrepo		dcterms:title	dcterms:creator	dcterms:subject	dcterms:description	dcterms:publisher	dcterms:date	dcterms:type	dcterms:format	dcterms:identifier	dcterms:language	dcterms:coverage	dcterms:rights	dcterms:format	dcterms:format	dcterms:identifier	dcterms:coverage																																																																																																																							dcterms:subject																									dcterms:contributor																				TIFF_URL	JP2000_URL	dcterms:relation
8709		Châteauroux	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	65 x 82 cm.	macrepo:8709	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Châteauroux																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8709/datastream/OBJ/macrepo%3A8709.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8709/datastream/JP2/macrepo%3A8709.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8709
8710		Lorient-Groix	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	65 x 80 cm.	macrepo:8710	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Lorient, Groix																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8710/datastream/OBJ/macrepo%3A8710.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8710/datastream/JP2/macrepo%3A8710.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8710
8711		Le Puy	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	64 x 86 cm.	macrepo:8711	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Le Puy																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8711/datastream/OBJ/macrepo%3A8711.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8711/datastream/JP2/macrepo%3A8711.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8711
8712		Alais	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	65 x 82 cm.	macrepo:8712	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Alais																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8712/datastream/OBJ/macrepo%3A8712.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8712/datastream/JP2/macrepo%3A8712.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8712
8713		Largentière	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	65 x 82 cm.	macrepo:8713	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Largentière																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8713/datastream/OBJ/macrepo%3A8713.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8713/datastream/JP2/macrepo%3A8713.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8713
8714		Moulins	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	65 x 82 cm.	macrepo:8714	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Moulins																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8714/datastream/OBJ/macrepo%3A8714.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8714/datastream/JP2/macrepo%3A8714.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8714
8715		Bordeaux-Arcachon	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	65 x 76 cm.	macrepo:8715	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Bordeaux, Arcachon																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8715/datastream/OBJ/macrepo%3A8715.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8715/datastream/JP2/macrepo%3A8715.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8715
8716		Bourmont-Fays Billot	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	65 x 80 cm.	macrepo:8716	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Bourmont, Fays Billot																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8716/datastream/OBJ/macrepo%3A8716.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8716/datastream/JP2/macrepo%3A8716.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8716
8717		Marseille	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	64 x 81 cm.	macrepo:8717	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Marseille																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8717/datastream/OBJ/macrepo%3A8717.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8717/datastream/JP2/macrepo%3A8717.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8717
8718		Montluçon	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	66 x 82 cm.	macrepo:8718	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Montluçon																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8718/datastream/OBJ/macrepo%3A8718.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8718/datastream/JP2/macrepo%3A8718.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8718
8719		Besançon	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	66 x 83 cm.	macrepo:8719	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Besançon																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8719/datastream/OBJ/macrepo%3A8719.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8719/datastream/JP2/macrepo%3A8719.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8719
8720		Luneville-Epinal	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	65 x 95 cm.	macrepo:8720	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Luneville, Epinal																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8720/datastream/OBJ/macrepo%3A8720.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8720/datastream/JP2/macrepo%3A8720.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8720
8721		Nice, Cannes	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	86 x 76 cm.	macrepo:8721	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Nice, Cannes																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8721/datastream/OBJ/macrepo%3A8721.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8721/datastream/JP2/macrepo%3A8721.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8721
8722		Châteaudin-Beaugency	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	65 x 80 cm.	macrepo:8722	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Châteaudin, Beaugency																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8722/datastream/OBJ/macrepo%3A8722.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8722/datastream/JP2/macrepo%3A8722.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8722
8723		Nantua	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	66 x 82 cm.	macrepo:8723	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Nantua																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8723/datastream/OBJ/macrepo%3A8723.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8723/datastream/JP2/macrepo%3A8723.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8723
8724		St. Gaudens	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1943	Topographic maps	81 x 81 cm.	macrepo:8724	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Saint-Gaudens																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8724/datastream/OBJ/macrepo%3A8724.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8724/datastream/JP2/macrepo%3A8724.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8724
8725		Pithiviers-Orléans	Great Britain. War Office. General Staff. Geographical Section.		GSGS (Series); 4249. 1st ed.	[London]: War Office	1944	Topographic maps	65 x 80 cm.	macrepo:8725	eng	France	Copyright, public domain:  McMaster University owns the rights to the archival copy of the digital image in TIFF format.	map	image/tif		Europe--France--Pithiviers, Orléans																																																																																																																																																																				https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8725/datastream/OBJ/macrepo%3A8725.tiff	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8725/datastream/JP2/macrepo%3A8725.jp2	https://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A8725
